,Name,Country,Age,Height
0,Youngsook CHOI,KOR,-, -
1,Sakae NAKAHARA,JPN,-, -
2,Seolbin SIM,KOR,-, -
3,Changhyon LEE,KOR,51, 170
4,Jeongsu LEE,KOR,-, -
5,Masaki SHIBATA,JPN,-, -
6,Yongho JANG,KOR,-, -
7,Jesse OFFNER,NZL,-, -
8,Mark PUGH-WILLIAMS,NZL,-, -
9,Daniel TIRADO,COL,-, -
10,Chi-Wai LAI,HKG,-, -
11,Chigon SEO,KOR,-, -
12,Andrea Brigitta SZEKELY,HUN,-, -
13,Malgorzata KUSZTELAK,POL,-, -
14,Yuriy DZYUBYAK,UKR,-, -
15,Jurgen LIS,BEL,-, -
16,Siebe VANHEE,BEL,-, -
17,Wanne LIBOT,BEL,-, -
18,Michael TIMMERMANS,BEL,36, -
19,Mathieu PAUWELS,BEL,-, -
20,Kristof DEDECKER,BEL,-, -
21,Pavlo VEKLA,UKR,-, -
22,Davoud REKABI,IRI,37, -
23,Kuei Chi PENG,TPE,-, -
24,Chia Chu CHANG,TPE,-, -
25,Mohsen MOHAMMADINEGAD,IRI,-, -
26,Lincai ZHONG,CHN,-, -
27,Pingsheng LAI,CHN,-, -
28,Omid SHEIKHBAHAEI,IRI,-, -
29,Katharina PÖLL,AUT,-, -
30,Christina STÜTZ,AUT,-, -
31,Tina SUSTERSIC,SLO,-, -
32,Janina GMITER,POL,-, -
33,Sergej EPIH,SLO,-, -
34,Martino ISCHIA,ITA,-, -
35,Sandro DEUTSCHMANN,AUT,-, -
36,Eirik Birkelund OLSEN,NOR,-, -
37,Igor SOLOVEY,UKR,-, -
38,Konrad OCIEPKA,POL,-, -
39,Emilie POUGET,FRA,-, -
40,Emilie ABGRALL,FRA,-, -
41,Chloé VALEMBOIS,FRA,-, -
42,Nolwen LELINGNE,FRA,-, -
43,Amélie DELPHINO,FRA,-, -
44,Mélanie SON,FRA,-, -
45,Gail ROTHSCHILD,USA,-, -
46,Maureen KUNZ,USA,-, -
47,Mauro CALIBANI,ITA,-, -
48,John STACK,USA,-, -
49,Yuji MIYABO,JPN,-, -
50,Obel CARRION,USA,-, -
51,Cédric LO PICCOLO,FRA,-, -
52,Dong-Hyun KIM,KOR,-, -
53,Juan PONS ALEMAN,ESP,-, -
54,Steven JEFFREY,USA,-, -
55,Maruki FUTOSHI,JPN,-, -
56,Hee-Jo KIM,KOR,-, -
57,Joung-Yong PARK,KOR,-, -
58,Daniil KOZMINE,RUS,-, -
59,Sören ANDERSEN,DEN,-, -
60,Christian ILLUM,DEN,-, -
61,Thøger VILSTRUP,DEN,-, -
62,Philip MOSER,GER,-, -
63,Lisa BENETTI,ITA,-, -
64,Stéphanie CROUVISIER,FRA,-, -
65,Yuka ENDO,JPN,-, -
66,Susanne ETTER,SUI,-, -
67,Julia BERGKLINT,SWE,-, -
68,Melissa GRIFFITH,USA,-, -
69,Alison MARTINDALE,GBR,-, -
70,Nino TCHARKVIANI,GEO,-, -
71,April MARR,GBR,-, -
72,Nienke SWART,NED,-, -
73,Cinzia DONATI,ITA,-, -
74,Isabella RITSCH,AUT,-, -
75,Sheila JENSEN,DEN,-, -
76,Christopher CUBITT,GBR,-, -
77,Marcin WSZOLEK,POL,-, -
78,Jiri LAUTNER,CZE,-, -
79,Tomi NYTORP,FIN,-, -
80,Kristian CLEMMOW,GBR,-, -
81,Erik JACOBS,NED,-, -
82,Martin IDEGREN,SWE,-, -
83,Bosse SÄTTARE,SWE,-, -
84,Pavel SOLANSKY,CZE,-, -
85,Valeri FERADZE,GEO,-, -
86,Richárd BOZSIK,HUN,-, -
87,Miklos KOVACS,HUN,-, -
88,Gergely RAKOSI,HUN,-, -
89,Giorgi KOMAKHIKZE,GEO,-, -
90,Chun-Ming JOU,TPE,-, -
91,Yi-De LIU,TPE,-, -
92,Futoshi MARUKI,JPN,-, -
93,Lucas KOMAKHIDZE,GEO,-, -
94,Primoz ZITNIK,SLO,-, -
95,Luca GIAMMARCO,ITA,-, -
96,Eva NIESELT,GER,-, -
97,Manuel BRUNN,GER,-, -
98,Enrico SANGANAS,GER,-, -
99,Blaz RANT,SLO,-, -
100,Tomasz DOUBRAVSK,CZE,-, -
101,Flavia GAGGERO,ITA,-, -
102,Jung-Hee HAN,KOR,-, -
103,Laure MATHIEU,FRA,-, -
104,Stephane DUGIT,FRA,-, -
105,Roberto COLONETTI,ITA,-, -
106,Miriam MOOSBURGER,AUT,-, -
107,Christian SORDO,ITA,-, -
108,Aldo ITURBE,MEX,-, -
109,Venera CHERESHNEVA,RUS,-, -
110,Olesya SAULEVICH,RUS,-, -
111,Li-Ping HUANG,CHN,-, -
112,Jung-Ok LEE,KOR,-, -
113,Qing ZHANG,CHN,-, -
114,Svetlana SUTKINA,RUS,-, -
115,Sheng-Ju WEI,CHN,-, -
116,Gui-Ying LIU,CHN,-, -
117,Denis CHARAFOUTDINOV,RUS,-, -
118,Oleg TCHERECHNEV,RUS,-, -
119,Rongwu CAO,CHN,44, -
120,Zhifeng HUANG,CHN,-, -
121,Tzu-Kai CHAO,TPE,-, -
122,Dmitri KHAIDARCHINE,RUS,-, -
123,Hatta MUHD,SGP,-, -
124,Bin Anwar ROZIHAN,SGP,-, -
125,Lucka FRANKO,SLO,-, -
126,Sabine KNABL,AUT,-, -
127,Adrian BAXTER,GBR,-, -
128,Takaaki TSUIKI,JPN,-, -
129,Lisa RANDS,USA,-, -
130,Lucinda HUGHES,GBR,-, -
131,Jo GORDON,GBR,-, -
132,Rachel SEYMOUR,GBR,-, -
133,Sian OAKLEY,GBR,-, -
134,Lucy ATKINSON,GBR,-, -
135,Malcolm SMITH,GBR,-, -
136,Ian BITCON,GBR,-, -
137,Miles GIBSON,GBR,-, -
138,Dawid SKOCZYLAS,POL,-, -
139,Steve DUNNING,GBR,-, -
140,Andrew EARL,GBR,-, -
141,Gary VINCENT,GBR,-, -
142,Tom SUGDEN,GBR,-, -
143,Andy HARRIS,GBR,-, -
144,Gustav KAMF,SWE,-, -
145,Jiri PRIBIL,CZE,-, -
146,Roddy MACKENZIE,GBR,-, -
147,Stuart CAMPBELL,GBR,-, -
148,Chris GRAHAM,GBR,-, -
149,Eva Elez MUÑOZ,ESP,-, -
150,Christoph HUBER,AUT,-, -
151,Hidekazu ITO,JPN,-, -
152,Robert MATE,GER,-, -
153,César Sempere VENDRELL,ESP,-, -
154,Takuya TAKEDA,JPN,-, -
155,Natalia RYMCHA,RUS,-, -
156,Ekaterina KOROLKOVA,RUS,-, -
157,Natalia NESTEROVA,RUS,-, -
158,Katarina CHKADUA,GEO,-, -
159,Olga OCHTCHEPKOVA,RUS,-, -
160,Margarita RYZHKOVA,RUS,-, -
161,Evgeny MASLEONKIN,RUS,-, -
162,Ilfir KHAKIMIANOV,RUS,-, -
163,Alexei ZEMSKI,RUS,-, -
164,Amin ABBASSI,IRI,-, -
165,Amir PIRVASLI,IRI,-, -
166,Oleksandr ZELINSKY,UKR,-, -
167,Soso KATSITADZE,GEO,-, -
168,Evgueni MINATCHEV,RUS,-, -
169,Marat SADYROV,RUS,-, -
170,Serguei PINIGUINE,RUS,-, -
171,Nikolai KOUZOVLEV,RUS,-, -
172,Maxim MIKHAILOV,RUS,-, -
173,Igor ASTACHOV,RUS,-, -
174,Dmytro KONOVALOV,UKR,-, -
175,Alexander KHOPKO,RUS,-, -
176,Zaza GURCHIANI,GEO,-, -
177,Oleg GREBENYUK,UKR,-, -
178,Attila BARTHA,HUN,-, -
179,Nikolay EREMIN,BLR,-, -
180,Ihor HONCHARENKO,UKR,-, -
181,Ivan SHYSHKOVSKYY,UKR,44, 175
182,Hossein SIEF,IRI,-, -
183,Olesia KLEOCHINA,RUS,-, -
184,Denis OMELTCHENKO,RUS,-, -
185,Egor GOUTORINE,RUS,-, -
186,Ismail MOHD,SGP,-, -
187,Yekaterin KRASILNOKOVA,KAZ,-, -
188,Vladislav TYURIN,KAZ,-, -
189,Hiroe TAKEZAWA,JPN,-, -
190,Sona HNIZDILOVA,CZE,-, -
191,Cody ROTH,USA,-, -
192,Timo PREUSSLER,GER,-, -
193,Andre NOREL,NED,-, -
194,Václav MALINA,CZE,-, -
195,Matthew SEGAL,USA,-, -
196,Mohamad Kasim MOHAMMAD HAFIZ,SGP,-, -
197,Stella MARCHISIO,ITA,-, -
198,Stefania DE GRANDI,ITA,-, -
199,Tomoko OGAWA,JPN,-, -
200,Anne MARCHANDISE,FRA,-, -
201,Emmanuelle RAVEYRE,FRA,-, -
202,Claire MATHIEU,FRA,-, -
203,Georgos PROGULAKIS,ITA,-, -
204,Géraud FANGUIN,FRA,-, -
205,Gyong-Im YUN,KOR,-, -
206,Vanessa VALENTIM,BRA,-, -
207,Ana Luisa SHIRAWA,BRA,-, -
208,Fanny ROGEAUX,FRA,-, -
209,Luca GELMETTI,ITA,-, -
210,Franck ANSQUER,FRA,-, -
211,Daniel JUNG,GER,-, -
212,Young-Se KWEN,KOR,-, -
213,Xavier DROGUET,FRA,-, -
214,Zeb CRIJNS,NED,-, -
215,Diego SIRTORI,ITA,-, -
216,Monique FORESTIER,AUS,-, -
217,Beatrix CHONG,SGP,-, -
218,Tan Leng GOH,SGP,-, -
219,Soh XIANG LIN,SGP,-, -
220,"Li Ying, Suzanna TAN",SGP,-, -
221,Yuk-Lan CHAN,HKG,-, -
222,"Leong Hong, Beatrix CHONG",SGP,-, -
223,Xiao Hui TWANG,SGP,-, -
224,Sue Ann CHUNG,SGP,-, -
225,Ka-Wai CHU,HKG,-, -
226,Xianghua DING,CHN,52, -
227,H. C. KARTHIK,IND,-, -
228,Sze Ping TAN,SGP,-, -
229,"Zher Yeow, Jay KOH",SGP,-, -
230,Vengasamy THINESH,SGP,-, -
231,Chee Hoi LEONG,SGP,-, -
232,Yegor LOS,UKR,-, -
233,Xiaojie CHEN,CHN,-, -
234,Uzair MUHAMAD,SGP,-, -
235,Mohd Hussain MOHD IRWAN,SGP,-, -
236,Muhammad Ridzuan MOHD YUSOFF,SGP,-, -
237,Janmin WANG,CHN,-, -
238,Ramli MUHAMMAD ZAKI,SGP,-, -
239,Ben HEASON,GBR,-, -
240,Addien NUR IKWAN,SGP,-, -
241,Lauren LEE,USA,-, -
242,Sadie RENWICK,GBR,-, -
243,Tiffen DECORPS,FRA,-, -
244,Roy MOSLEY,GBR,-, -
245,Ludovic STELMASZYK,FRA,-, -
246,Martin SMITH,GBR,-, -
247,Sebastian ABAD DEL CAMPO,ESP,-, -
248,Lucy CREAMER,GBR,-, -
249,Chelsea RUDE,USA,-, -
250,Mike DOYLE,CAN,-, -
251,Adam STACK,USA,-, -
252,Mike MOELTER,USA,-, -
253,Peter WOODS,CAN,-, -
254,Teppei USHIRO,JPN,-, -
255,Katja PLANINC,SLO,-, -
256,Eduard MARIN GARCIA,ESP,-, -
257,Gábor VARGA,HUN,-, -
258,Ana KOSMAC,SLO,-, -
259,Janina KÄYHKÖ,FIN,-, -
260,Tereza KYSILKOVA,CZE,-, -
261,Nicolas FAVRESSE,BEL,-, -
262,Peter DOLEZAJ,SVK,-, -
263,Petr SOLANSKY,CZE,-, -
264,Pavel KORAN,CZE,-, -
265,Andre BOROWKA,GER,-, -
266,Christian TOLLINGER,AUT,-, -
267,Robert HEINRICH,GER,-, -
268,Natalia BARANOVA,RUS,-, -
269,Olga GAVRILOVA,RUS,-, -
270,Kristina NILSSON,SWE,-, -
271,Evgeny BASHKIRTSEV,RUS,-, -
272,Kyrylo SHEVCHENKO,UKR,-, -
273,Sergey POPOV,RUS,-, -
274,Maxim TCHERNYKH,RUS,-, -
275,Pavel KLEPIKOV,RUS,-, -
276,Konstantin LYUKHANOV,RUS,-, -
277,Ruslan ASTASHOV,RUS,-, -
278,Mikhail PEKAREV,RUS,-, -
279,Mikhail GOLOUBKOV,RUS,-, -
280,Juliette DANION,FRA,-, -
281,Celine COMBAZ,FRA,-, -
282,Emily HARRINGTON,USA,-, -
283,Roberta LONGO,ITA,-, -
284,Paolo LEONCINI,ITA,-, -
285,Faycal NATECH,FRA,-, -
286,Tomas FIDES,SVK,-, -
287,Yair KUPERSTEIN,ISR,-, -
288,Severin NOVIANT,FRA,-, -
289,Luca PARISSE,ITA,-, -
290,Alessio DEIANA,ITA,-, -
291,Roland WAGNER,AUT,-, -
292,Nicolas BADIA,FRA,-, -
293,Kazuhiro CHIBA,JPN,-, -
294,Nadine RUH,GER,-, -
295,Elizabeth ASHER,USA,-, -
296,Lucie RAJFOVA,CZE,37, -
297,Martin FOJTIK,CZE,-, -
298,Matteo GAMBARO,ITA,-, -
299,Nathan BANCROFT,USA,-, -
300,Aurelie DIDILLION,FRA,-, -
