,Athlete,Athlete_Country,Rank,Event_Name,Discipline,Category
47, Andrey LADNIY ,RUS,48,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
48, Aleksey PEROV ,KAZ,49,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
49, Blagovest LAZAROV ,BUL,50,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
50, Marian GEORGIEV ,BUL,51,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
51, Natalija GROS ,SLO,1,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
52, Yana CHERESHNEVA ,RUS,2,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
53, Yulia ABRAMCHUK ,RUS,3,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
54, Olga SHALAGINA ,UKR,4,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
55, Olga BEZHKO ,UKR,5,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
56, Evgeniia MALAMID ,RUS,6,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
57, Maud ANSADE ,FRA,7,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
58, Chloé GRAFTIAUX ,BEL,8,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
59, Svitlana TUZHYLINA ,UKR,9,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
60, Tatiana SHEMULINKINA  ,RUS,10,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
61, Alisa GEL'FER ,UKR,11,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
62, Olena OSTAPENKO ,UKR,12,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
63, Olga KULISH ,UKR,13,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
64, Kseniia ALEKSEEVA ,RUS,14,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
65, Valeriya LESHCHENKO ,UKR,15,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
66, Petya GARBOVA ,BUL,16,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
67, Nataliya PERLOVA ,UKR,17,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
68, Anja HODANN ,SWE,18,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
69, Alexandra BALAKIREVA ,RUS,19,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
70, Mariya SOSNOVSKYKH ,UKR,20,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
71, Anja RAKICKAJA ,RUS,21,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
72, Dinara IRSALIYEVA ,KAZ,22,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
73, Oleksandra BUD GUSAIM ,UKR,23,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
74, Elena KRASOVSKAJA ,UKR,24,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
75, Olga LOSYNSKA ,UKR,25,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
76, Yulia TROEPOLSKAYA ,RUS,26,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
77, Olga MEDVEDIEVA ,UKR,27,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
78, Natalia RUCHKA ,UKR,28,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
79, Mariya MULYAR ,UKR,29,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
80, Elena KOVALEVA ,RUS,30,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
81, Aliya ISKAKOVA ,KAZ,31,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
82, Ganna KHOKHLOVA ,UKR,32,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
83, Olexandra D'YACHENKO ,UKR,33,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Women
84, Gareth PARRY ,GBR,1,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
85, Nalle HUKKATAIVAL ,FIN,2,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
86, Remo SOMMER ,SUI,3,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
87, Nicolas BADIA ,FRA,4,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
88, Kevin HEMUND ,SUI,5,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
89, Philippe ALLENSPACH ,SUI,6,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
90, David BARRANS ,GBR,7,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
91, Daniel WINKLER ,SUI,8,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
92, Thomas SCHMID ,SUI,9,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
93, Urs SCHÖNENBERGER ,SUI,10,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
94, Petr PAVLOVIC ,CZE,11,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
95, Joackym RAMSAMY ,FRA,12,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
96, Daniel SCHMID ,SUI,13,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
97, Martin JAGGI ,SUI,14,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
98, Anthony SAPEY ,SUI,15,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
99, Werner RUML ,AUT,16,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
100, Jakub CERMAK ,CZE,17,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
101, Yves HÄNGGI ,SUI,17,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
102, Nick VU ,USA,19,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
103, Silvan SCHÜPBACH ,SUI,20,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
104, Ivan KLARER ,SUI,21,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
105, Tobias SUTER ,SUI,21,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Men
106, Alexandra EYER ,SUI,1,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
107, Maud ANSADE ,FRA,2,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
108, Nina CAPREZ ,SUI,3,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
109, Christina SCHMID ,SUI,4,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
110, Celine COMBAZ ,FRA,5,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
111, Anouk PIOLA ,SUI,6,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
112, Tabea SCHWAB ,SUI,7,International Event - Swiss Master Outdoor Games - Interlaken (SUI) 2007,boulder,Women
113, Ramón JULIAN  PUIGBLANQUE ,ESP,1,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
114, Patxi USOBIAGA LAKUNZA ,ESP,2,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
115, Michaël FUSELIER ,FRA,3,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
116, Klemen BECAN ,SLO,4,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
117, Fabien DUGIT ,FRA,5,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
118, Flavio CRESPI ,ITA,6,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
119, Gautier SUPPER ,FRA,7,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
120, Kevin AGLAE ,FRA,8,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
121, Anatole BOSIO ,FRA,9,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
122, Yuji HIRAYAMA ,JPN,9,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
123, Magnus MIDTBOE ,NOR,9,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
124, Jürgen REIS ,AUT,9,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
125, Casper TEN SIJTHOFF ,NED,9,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
126, Mikhail CHERNIKOV ,RUS,14,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
127, Rustam GELMANOV ,RUS,14,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
128, Matej SOVA ,SLO,14,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
129, Sylvain MILLET ,FRA,17,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
130, Manuel ROMAIN ,FRA,17,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
131, Keita MOGAKI ,JPN,19,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
132, Thomas BALLET ,FRA,20,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
133, Flavien GUERIMAND ,FRA,21,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
134, David LAMA ,AUT,22,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
135, Jorg VERHOEVEN ,NED,22,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Men
136, Charlotte DURIF ,FRA,1,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
137, Angela EITER ,AUT,2,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
138, Natalija GROS ,SLO,3,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
139, Yana CHERESHNEVA ,RUS,4,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
140, Olga BIBIK ,RUS,5,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
141, Mina MARKOVIC ,SLO,6,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
142, Alexandra EYER ,SUI,7,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
143, Caroline CIAVALDINI ,FRA,8,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
144, Muriel SARKANY ,BEL,9,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
145, Florence PINET ,FRA,10,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
146, Maja STREMFELJ ,SLO,11,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
147, Paige CLAASSEN ,USA,12,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
148, Evgeniia MALAMID ,RUS,13,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
149, Jenny LAVARDA ,ITA,14,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
150, Mélanie SANDOZ ,FRA,15,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
151, Irati ANDA VILLANUEVA ,ESP,16,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
152, Yuka KOBAYASHI ,JPN,16,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
153, Sandrine LEVET ,FRA,16,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
154, Katharina SAURWEIN ,AUT,16,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
155, Lucka FRANKO ,SLO,20,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
156, Bettina SCHÖPF ,AUT,21,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
157, Celine MEHOUAS ,FRA,22,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
158, Anne HOARAU ,FRA,23,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
159, Andrea Brigitta SZEKELY ,HUN,23,Int. Event (L) - Serre Chevalier (FRA) 2007,lead,Women
160, Rustam GELMANOV ,RUS,1,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
161, Stephane JULIEN ,FRA,2,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
162, Daniel DU LAC ,FRA,3,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
163, Guillaume GLAIRON MONDET ,FRA,4,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
164, Nicolas BADIA ,FRA,5,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
165, Brice MARTINE ,FRA,6,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
166, Arnaud LEVET ,FRA,7,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
167, Pierre DUROCHE ,FRA,8,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
168, Mathieu SEMIOND ,FRA,9,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
169, Anthony LAMICHE ,FRA,10,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
170, Anatole BOSIO ,FRA,11,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
171, Bastien GLAIRON MONDET ,FRA,12,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
172, Edouard GUIS ,FRA,13,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
173, Joackym RAMSAMY ,FRA,14,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
174, Etienne JANUEL ,FRA,15,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
175, Vincent GLEMAREC ,FRA,16,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
176, Vladimir MURZAEV ,RUS,17,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
177, Yoann LE COUSTER ,FRA,18,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
178, Ashami FARES ,FRA,19,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
179, Antoine VANDEPUTTE ,FRA,20,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
180, Paul MICHAS ,FRA,21,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
181, Julien FERGEAU ,FRA,22,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
182, Guy THAON ,FRA,23,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
183, Robin GUDEFIN ,FRA,24,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Men
184, Juliette DANION ,FRA,1,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
185, Chloé GRAFTIAUX ,BEL,2,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
186, Olga BIBIK ,RUS,3,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
187, Ludivine HARMAND ,FRA,4,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
188, Maud ANSADE ,FRA,5,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
189, Anne-laure CHEVRIER ,FRA,6,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
190, Alexandra BALAKIREVA ,RUS,7,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
191, Audrey SEGUY ,GBR,8,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
192, Maria AGAFONOVA ,RUS,9,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
193, Mélanie SANDOZ ,FRA,9,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
194, Alix GRAFTIAUX ,BEL,11,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
195, Marie DUVAL ,FRA,12,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
196, Morgane AVELINE ,FRA,13,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
197, Trina LEVOVA ,RUS,14,International Event (B) - La Colmiane (FRA) Masters 2007,boulder,Women
198, Ramón JULIAN  PUIGBLANQUE ,ESP,1,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
199, Flavio CRESPI ,ITA,2,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
200, Tomás MRÁZEK ,CZE,3,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
201, David LAMA ,AUT,4,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
202, Patxi USOBIAGA LAKUNZA ,ESP,5,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
203, Jorg VERHOEVEN ,NED,6,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
204, Luca ZARDINI ,ITA,7,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
205, Fabien DUGIT ,FRA,8,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
206, Christian BINDHAMMER ,GER,9,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
207, Felix NEUMÄRKER ,GER,10,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
208, Sylvain MILLET ,FRA,11,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Men
209, Angela EITER ,AUT,1,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
210, Maja STREMFELJ ,SLO,2,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
211, Irati ANDA VILLANUEVA ,ESP,3,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
212, Mina MARKOVIC ,SLO,4,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
213, Emily HARRINGTON ,USA,5,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
214, Sandrine LEVET ,FRA,6,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
215, Natalija GROS ,SLO,7,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
216, Barbara BACHER ,AUT,8,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
217, Jenny LAVARDA ,ITA,9,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
218, Katharina SAURWEIN ,AUT,10,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
219, Alexandra EYER ,SUI,11,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
220, Charlotte DURIF ,FRA,12,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,lead,Women
221, Gareth PARRY ,GBR,1,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
222, Nalle HUKKATAIVAL ,FIN,2,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
223, Gabriele MORONI ,ITA,3,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
224, Lucas PRETI ,ITA,4,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
225, Daniel WOODS ,USA,5,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
226, Tomasz OLEKSY ,POL,6,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
227, Mykhaylo SHALAGIN ,UKR,7,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
228, Ludovic LAURENCE ,FRA,8,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Men
229, Anna STÖHR ,AUT,1,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
230, Yulia ABRAMCHUK ,RUS,2,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
231, Olga SHALAGINA ,UKR,3,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
232, Maud ANSADE ,FRA,4,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
233, Silvie RAJFOVA ,CZE,5,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
234, Roberta LONGO ,ITA,6,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
235, Samantha BERRY ,AUS,7,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,boulder,Women
236, Evgenii VAITSEKHOVSKII ,RUS,1,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
237, Sergei SINITCYN ,RUS,2,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
238, Manuel ESCOBAR ,VEN,3,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
239, Tomasz OLEKSY ,POL,4,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
240, Libor HROZA ,CZE,5,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
241, Csaba KOMONDI ,HUN,6,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
242, Lukasz SWIRK ,POL,7,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
243, Leonel DE LAS SALAS ,VEN,8,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
244, Nestor CARVAJAL ,VEN,9,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
245, Matthias SCHMIDL ,ITA,10,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
246, Alexander PESHEKHONOV ,RUS,11,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
247, Anatoly SKRIPOV ,RUS,11,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2007,speed,Men
248, Kazuma WATANABE ,JPN,1,Promo Event (L+S) Asia Cup - Changsha (CMA),lead,Men
249, Changzhong LIU ,CHN,2,Promo Event (L+S) Asia Cup - Changsha (CMA),lead,Men
250, Janghyuk KIM ,KOR,3,Promo Event (L+S) Asia Cup - Changsha (CMA),lead,Men
251, Keita MOGAKI ,JPN,3,Promo Event (L+S) Asia Cup - Changsha (CMA),lead,Men
252, Hidekazu ITO ,JPN,5,Promo Event (L+S) Asia Cup - Changsha (CMA),lead,Men
