,Athlete,Athlete_Country,Rank,Event_Name,Discipline,Category
0, Mykhaylo SHALAGIN ,UKR,1,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
1, Nicolas BADIA ,FRA,2,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
2, Gérome POUVREAU ,FRA,3,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
3, Stephane JULIEN ,FRA,4,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
4, Tomasz OLEKSY ,POL,5,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
5, Sergii TOPISHKO ,UKR,6,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
6, Loïc GAIDIOZ ,FRA,7,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
7, Dmytro KONOVALOV ,UKR,8,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
8, Serik KAZBEKOV ,UKR,9,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
9, Rustam GELMANOV ,RUS,10,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
10, Jérôme MEYER ,FRA,11,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
11, Valeriy KRYUKOV ,UKR,12,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
12, Petro SCHERBINA ,UKR,13,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
13, Petro MARKEVYCH ,UKR,14,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
14, Stanislav KLESHNOV ,UKR,15,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
15, Mikhail CHERNIKOV ,RUS,16,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
16, Stanislav POPLAVSKIY ,RUS,17,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
17, Jonas BAUMANN ,GER,18,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
18, Yuriy DZYUBYAK ,UKR,19,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
19, Sergei SHAFEROV ,BLR,20,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
20, Ilya KAZENNOV ,RUS,21,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
21, Viktor BELIY ,UKR,22,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
22, Maksym PETRENKO ,UKR,23,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
23, Sergii KARPIN ,UKR,24,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
24, Dmitriy PORTSEV ,RUS,25,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
25, Grzegorz KAROLAK ,POL,26,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
26, Vladimir MURZAEV ,RUS,27,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
27, Vitalii LAGUTIN ,UKR,28,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
28, Alexandr NIGMATULIN ,KAZ,29,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
29, Andre BOROWKA ,GER,30,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
30, Ivaylo RADKOV ,BUL,31,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
31, Alexandr HOPKO ,RUS,32,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
32, Stefan AVRAMOV ,BUL,33,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
33, Kyrylo SHEVCHENKO ,UKR,34,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
34, Rumen NESHEV ,BUL,35,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
35, Marian BUCNERU ,ROU,36,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
36, Anton MARDASHOV ,UKR,37,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
37, Dmitriy IVANOV ,UKR,38,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
38, Andrew ZHIGAREV ,UKR,39,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
39, Pavlo FOYGEL ,UKR,40,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
40, Petar GAVRILOV ,BUL,41,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
41, Ene VIOREL ,ROU,42,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
42, Pavlo VEKLA ,UKR,43,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
43, Igor SOLOVEY ,UKR,44,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
44, Olexiy SHULGA ,UKR,45,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
45, Aleksei PORTSEV ,RUS,46,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
46, Pavel PESKIN ,RUS,47,International Event (B) Ukrainian Verticals - Kiev (UKR),boulder,Men
