,Name,Country,Age,Height
0,Xuenian FU,CHN,60, -
1,Yongfeng WANG,CHN,60, -
2,Jiaxuan HUANG,CHN,21, -
3,Lijie ZHANG,CHN,33, -
4,Roman KRAJNIK,CHN,48, -
5,Cheng YU,CHN,32, -
6,Hongduan TAN,CHN,31, -
7,Rongqi LIANG,CHN,30, -
8,Nima SANGZHU,CHN,24, -
9,Yuetong ZHANG,CHN,21, 160
10,Haimei QIU,CHN,25, -
11,Matthew David JONES,CHN,34, -
12,Jaha KIM,CHN,40, -
13,Yuxu LI,CHN,27, -
14,Lijuan DENG,CHN,24, -
15,Xueban YANG,CHN,26, -
16,Shu XIA,CHN,43, -
17,Deqing ZHAO,CHN,29, -
18,Lingzhi ZHANG,CHN,30, -
19,Mengdie YANG,CHN,27, -
20,Jian XIAO,CHN,25, -
21,Jiaoling WANG,CHN,27, -
22,Zeyi SUN,CHN,28, -
23,Xiaoshan PAN,CHN,29, -
24,Kaixin LIANG,CHN,28, -
25,Rumei WANG,CHN,28, -
26,Pengfei LI,CHN,29, -
27,Guishan REN,CHN,27, -
28,Yangfang SHI,CHN,20, -
29,Evgenii VAITSEKHOVSKII,CHN,38, -
30,Helen DANCO,GER,21, -
31,Boris CUJIC,CRO,62, -
32,Ivan LISICA,CRO,42, -
33,Luka KIVELA,CRO,38, -
34,Luka TRUMBIC,CRO,32, -
35,Krešimir MORIĆ,CRO,41, -
36,Nikola KRAMARIC,CRO,29, -
37,Borna CUJIC,CRO,27, -
38,Ivan PEVEC,CRO,40, -
39,Alan KRIZANIC,CRO,44, -
40,Jani ZORAJ,CRO,22, -
41,Karlo ČUBRIĆ,CRO,23, -
42,Vana PICCINI,CRO,22, -
43,Pia CULJAK,CRO,21, 171
44,Martina FUTIVIĆ,CRO,21, -
45,Filip KURTOVIĆ,CRO,21, -
46,Mikula BAŠIĆ,CRO,22, -
47,Anamaria MAROVIC,CRO,57, -
48,Sinisa HRESTAK,CRO,49, -
49,Tudor EDUARD,CRO,46, -
50,Lucija BRKIĆ,CRO,19, -
51,Lara KMOCH,CRO,20, -
52,Roko ČAČIJA,CRO,19, -
53,Nikola TESIJA,CRO,34, -
54,Marko BRKIĆ,CRO,51, -
55,Niko RIMAC,CRO,20, -
56,Martin MOBRÅTEN,NOR,41, -
57,Stian CHRISTOPHERSEN,NOR,40, -
58,Magnus MIDTBOE,NOR,35, -
59,Hannah MIDTBOE,NOR,34, -
60,Tina Johnsen HAFSAAS,NOR,29, 164
61,Thilo Jeldrik SCHRÖTER,NOR,28, 175
62,Rolf -Martin BJØRNGAARD,NOR,27, -
63,Martinus Hals SKAR,NOR,26, -
64,Lisa-Marie KVANDAHL,NOR,25, -
65,Bergljot HANSEN,NOR,25, -
66,Leo Ketil BØE,NOR,24, -
67,Kristoffer KLEV,NOR,25, -
68,Sunniva Eik HAAVE,NOR,27, -
69,Ingrid Helene AMUNDRUD,NOR,25, -
70,Kenneth ELVEGÅRD,NOR,36, -
71,Jens-Kristian AASMUNDSEN,NOR,23, -
72,Baste ANDESILIC,NOR,24, -
73,Bjørn-Inge HAAVE,NOR,56, -
74,Hauk Steinsson LEM,NOR,23, -
75,Eline NÆSHEIM,NOR,35, -
76,Thor-Henrik KVANDAHL,NOR,55, -
77,Brita AMUNDRUD,NOR,57, -
78,Mie (marie Therese) KASTET,NOR,39, -
79,Nicolas DEJENEFFE,NOR,43, -
80,Stine RAKNES,NOR,24, -
81,Tuva Eik HAAVE,NOR,22, -
82,Christian Phillip ELIASSEN,NOR,24, -
83,Kristian GRIGSON EIAN,NOR,22, -
84,Albert ILSAAS SUTHURST,NOR,22, -
85,Lea SCHMITTHENNER,NOR,22, -
86,Ingrid KINDLIHAGEN,NOR,21, -
87,Eivind KITTELSEN,NOR,24, -
88,Mia Stöver WOLLEBAEK,NOR,23, -
89,Marie Aagaard LAURIDSEN,NOR,24, -
90,Oda Aagaard LAURIDSEN,NOR,22, 178
91,Emma Stöver WOLLEBAEK,NOR,20, -
92,Tobias REIDEL,NOR,21, -
93,Reino HORAK,NOR,64, -
94,Joakim SVEEN,NOR,33, -
95,Patrick PEDERSEN,NOR,27, -
96,Michael SUTHURST,NOR,56, -
97,Örjan RÖDLAND VAAGE,NOR,22, -
98,Sunniva ØVRE-EIDE,NOR,20, -
99,Edel LEMVIK,NOR,20, -
100,Teodor KIRKEBØ,NOR,19, -
101,Siss KLEV,NOR,58, -
102,Arne FARESTVEIT,NOR,22, -
103,Leo CHIBA,FRA,22, -
104,Hans Petter WOLLEBAEK,NOR,53, -
105,Kristoffer Raa DANIELSEN,NOR,19, -
106,Roar OLSEN,NOR,60, -
107,Nora HOVDE,NOR,19, -
108,Julia WINTER,GER,38, -
109,Johanna HOLFELD,GER,24, -
110,Denise BERTRAM,GER,34, -
111,David FIRNENBURG,GER,29, -
112,Ruben FIRNENBURG,GER,27, -
113,Hannah MEUL,GER,23, 167
114,Christian RANGE,GER,24, -
115,Leander CARMANNS,GER,19, -
116,Lili CORNELY,GER,19, -
117,Johannes LAU,GER,39, -
118,Michel SIEDLER,GER,19, -
119,Cedric Lluc MILLES,GER,21, -
120,Franziska RITTER,GER,21, 164
121,Florence GRÜNEWALD,GER,25, -
122,Frederike FELL,GER,23, -
123,Simon UNGER,GER,32, -
124,Thomas TAUPORN,GER,33, -
125,Sebastian HALENKE,GER,29, 177
126,Kim MARSCHNER,GER,26, -
127,Max KLEESATTEL,GER,25, 173
128,Fabrice ROHNER,SUI,21, -
129,Cédric LACHAT,SUI,39, -
130,Katherine CHOONG,SUI,32, -
131,Yannick FLOHÉ,GER,24, 178
132,Luisa FLOHÉ,GER,22, -
133,Janine CARDOSO,BRA,50, -
134,Anderson GOUVEIA,BRA,46, -
135,André BEREZOSKI,BRA,47, -
136,Cesar GROSSO,BRA,40, -
137,Luana RISCADO,BRA,32, 161
138,Pedro Ferreira NICOLOSO,BRA,33, -
139,Thais Makino SHIRAIWA,BRA,36, -
140,Raphael NISHIMURA,BRA,43, -
141,Felipe HO FOGANHOLO,BRA,25, -
142,Camila MACEDO,BRA,42, -
143,Silvana RUDEK,BRA,34, -
144,Flavio CASTAGNARI,BRA,47, -
145,Fernando NICOLOSO,BRA,62, -
146,Tatiana CALOI STINCHI,BRA,37, -
147,Jean OURIQUES,BRA,38, -
148,Felipe HAMDAR,BRA,22, -
149,Vinicius SIMIONI,BRA,25, -
150,Luciano FRAZÃO DA SILVA,BRA,44, -
151,Iasmim DE QUEIROZ FREITAS,BRA,20, -
152,Patrícia ANTUNES,BRA,38, -
153,Pedro AVELAR,BRA,23, -
154,Clara VIEGAS,BRA,22, 170
155,Manoiela VILARINHO,BRA,39, -
156,Ricardo SCHEN,BRA,47, -
157,Eduardo GAMA DA SILVA,BRA,41, -
158,Luisa XAVIER SANS,BRA,34, -
159,Santiago SCHMIDT,ARG,28, -
160,Rocio Ailen BECERRA,ARG,25, 157
161,Valentina AGUADO,ARG,23, -
162,Marcelo ROMILLO,ARG,51, -
163,Santiago CHRISTENSEN,ARG,23, -
164,Victoria GIMENEZ,ARG,22, -
165,Gustavo Gabriel SUAREZ MUNNE,ARG,24, -
166,Tomas VILARIÑO,ARG,51, -
167,Piero ZANZOTTERA,ARG,40, -
168,Ana Luz TORRES,ARG,24, -
169,Valentin STERNIK,ARG,22, -
170,Joaquin PIRIZ,ARG,22, -
171,Daniela Maria PUJOL,ARG,47, -
172,Santiago GARCIA,ARG,37, -
173,Gustavo CASELLI,ARG,39, -
174,Manuel ESCOBAR,VEN,39, -
175,Leonel DE LAS SALAS,VEN,37, -
176,Francis RODRIGUEZ,VEN,43, -
177,Rosmery DA SILVA,VEN,34, -
178,Lucelia BLANCO,VEN,41, -
179,Francis GUILLEN,VEN,31, -
180,Leslie ROMERO,VEN,26, -
181,Luis David SOJO,VEN,25, -
182,Gustavo Jose PEREZ,VEN,22, -
183,Laura SANTAELLA,VEN,23, -
184,Luis BETANCOURT,VEN,33, -
185,Moritz HANS,GER,28, -
186,Vasil TASEVSKI,MKD,40, -
187,Vanco NAUNOV,MKD,29, -
188,Viktor TRPOVSKI,MKD,24, -
189,Vladimir TRPOVSKI,MKD,53, -
190,Stefania PERKANOSKA,MKD,21, -
191,Hristo BELOKAPOSKI,MKD,61, -
192,Biljana TALEVSKA,MKD,37, -
193,Sara WERTHMÜLLER,SUI,23, -
194,Sascha SCHWOB,SUI,21, -
195,Tim BUCHER,SUI,22, -
196,Lisa SCHLEGEL,SUI,22, -
197,Ilia WIELAND,SUI,20, -
198,Anouk PIOLA,SUI,35, -
199,Dylan CHUAT,SUI,23, 170
200,Julie BRIDEVAUX,SUI,22, -
201,Benoit SCHAUFELBERGER,SUI,41, -
202,Nadja PFISTER,SUI,31, -
203,Jara SPÄTE,SUI,26, -
204,Anja KÖHLER,BRA,20, -
205,Matthias KÖNIG,SUI,37, -
206,Noa Rosanna GLAUSER,SUI,23, -
207,Jael GERBER,SUI,22, -
208,Isaac ESTEVEZ,ECU,32, -
209,Andrea ROJAS,ECU,28, -
210,Domenica HARO,ECU,24, -
211,Carlos Felipe GRANJA LOPEZ,ECU,25, 176
212,Marlon Alexis POZO,ECU,25, -
213,Danny VALENCIA,ECU,25, -
214,Aaron PEÑARANDA,ECU,23, 171
215,Paul LÓPEZ,ECU,43, -
216,César AULESTIA,ECU,42, -
217,Eduardo MARTINEZ,ECU,47, -
218,Emily GONZALEZ,ECU,23, -
219,Alisson VIZUETE,ECU,23, -
220,Nickolaie RIVADENEIRA,ECU,23, 183
221,Salvador MOREANO,ECU,40, -
222,Galo HERNANDEZ,ECU,23, 164
223,Pedro MONTEZUMA,ECU,46, -
224,Jorge GOMEZ,ECU,22, -
225,Juan Martin PEÑA,ECU,24, -
226,Bryam MORENO,ECU,24, -
227,Isaac QUINTANILLA,ECU,21, -
228,Edwin CRUCERIRA,ECU,23, -
229,Dherek RENGIFO,ECU,23, -
230,Steve CABRERA,ECU,30, 173
231,Armel POZO,ECU,22, -
232,Victor Manuel ARMENDARIZ,ECU,21, -
233,Alexandra MENA,ECU,22, -
234,Alex VIVAS,ECU,23, -
235,Brian AVENDAÑO,ECU,39, -
236,Lorena TORRES,ECU,45, -
237,Nicola BELLINI,ECU,55, -
238,Renato ORDOÑEZ,ECU,32, -
239,Anahi MOREANO,ECU,23, -
240,Martha HERNANDEZ,ECU,27, -
241,Luis Alejandro ESCOBAR,ECU,21, -
242,Paolo RIVADENEIRA,ECU,20, 180
243,Gandhy JACOME,ECU,25, -
244,Cristian MORENO,ECU,36, -
245,Urs STÖCKER,SUI,47, -
