,Athlete,Athlete_Country,Rank,Event_Name,Discipline,Category
0, Christian CORE ,ITA,1,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
1, Serik KAZBEKOV ,UKR,2,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
2, Alexandre CHABOT ,FRA,3,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
3, Salavat RAKHMETOV ,RUS,4,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
4, François PETIT ,FRA,5,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
5, Stephane JULIEN ,FRA,6,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
6, Jean Luc DANIS ,FRA,7,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
7, Jérôme MEYER ,FRA,8,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
8, Damien JEANDENAND ,FRA,9,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
9, Frédéric TUSCAN ,FRA,10,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
10, Luc DAURES ,FRA,11,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
11, Julien MERAL ,FRA,12,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
12, Daniel DU LAC ,FRA,13,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
13, Serguei CHEMOULINKINE ,RUS,14,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
14, Pedro PONS ,ESP,15,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
15, Petro MARKEVYCH ,UKR,16,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
16, Timmy FAIRFIELD ,CAN,17,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
17, Tomasz OLEKSY ,POL,18,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
18, Faycal NATECH ,FRA,19,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
19, Luca GIUPPONI ,ITA,20,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
20, Andrey VEDENMEER ,UKR,21,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
21, Olivier LEBRETON ,FRA,22,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
22, Anthony LAMICHE ,FRA,23,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
23, Jurij GOLOB ,SLO,24,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
24, Riccardo SCARIAN ,ITA,25,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
25, Yevgen KRYVOSHEYTSEV ,UKR,26,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
26, Sylvain LANGRIS ,FRA,27,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
27, Serguei NOURMAMATOV ,RUS,28,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
28, Eric SCULLY ,USA,29,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
29, Dmitrii BYCHKOV ,RUS,30,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
30, Mathieu DUTRAY ,FRA,31,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
31, Matteo BRESCIANI ,ITA,32,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
32, Radovah SOUCEK ,CZE,33,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
33, Bernd ZANGERL ,AUT,33,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
34, Sylvain CHAPELLE ,FRA,35,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
35, Christian EMPRIN ,FRA,35,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
36, Frédéric COROLLER ,FRA,37,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
37, Jos LEENEN ,NED,37,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
38, Nicolas PINIER ,FRA,37,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
39, Elliot BLOCH ,USA,40,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
40, Mike MEIJNHARD ,NED,41,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
41, Roberto FIORAVANTI ,ITA,42,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
42, Dennis TEIJSSE ,NED,43,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Men
43, Elena CHOUMILOVA ,RUS,1,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
44, Stéphanie BODET ,FRA,2,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
45, Marietta UHDEN ,GER,3,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
46, Sandrine LEVET ,FRA,4,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
47, Olena RYEPKO ,UKR,5,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
48, Delphine MARTIN ,FRA,6,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
49, Natalia NOVIKOVA ,RUS,7,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
50, Iwona GRONKIEWICZ-MARCISZ ,POL,8,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
51, Lise NOEL ,FRA,9,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
52, Isabelle BIHR ,FRA,10,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
53, Martina CUFAR ,SLO,11,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
54, Vera KOTASOVA-KOSTRUHOVA ,CZE,12,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
55, Nataliya PERLOVA ,UKR,13,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
56, Chloé MINORET ,FRA,14,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
57, Kim ANTHONI ,BEL,15,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
58, Gaelle GOURIOU ,FRA,16,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
59, Stella MARCHISIO ,ITA,17,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
60, Tanja BAUER ,GER,18,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
61, Romana SAVIC ,SLO,19,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
62, Juliette DANION ,FRA,20,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
63, Sophie HEURTEAUX ,FRA,21,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
64, Nuria MARTI ,ESP,22,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
65, Laeticia COUDER ,FRA,23,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
66, Amélie DELPHINO ,FRA,23,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
67, Hélène ASTIE ,FRA,25,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
68, Claire BELL ,GBR,25,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
69, Nicola HAAGER ,GER,27,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
70, Natalie RICHER ,FRA,28,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
71, Marina ANNECCHINI ,ITA,29,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
72, Myrtille GUIGUET ,FRA,30,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
73, Eleonora VAN DER PUTTEN ,NED,31,UIAA Worldcup - Val d'Isere (FRA) 1999,boulder,Women
74, Christian CORE ,ITA,1,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
75, Daniel DU LAC ,FRA,2,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
76, Timmy FAIRFIELD ,CAN,3,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
77, Salavat RAKHMETOV ,RUS,4,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
78, Tomasz OLEKSY ,POL,5,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
79, Stephane JULIEN ,FRA,6,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
80, François PETIT ,FRA,7,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
81, Jérôme MEYER ,FRA,8,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
82, Jurij GOLOB ,SLO,9,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
83, Serik KAZBEKOV ,UKR,10,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
84, Jean Luc DANIS ,FRA,11,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
85, Laurent LAPORTE ,FRA,12,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
86, Serguei CHEMOULINKINE ,RUS,13,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
87, Alexandre CHABOT ,FRA,14,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
88, Andrey VEDENMEER ,UKR,15,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
89, Serguei NOURMAMATOV ,RUS,16,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
90, Vadim VINOKUR ,USA,17,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
91, Mathieu DUTRAY ,FRA,18,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
92, Dmitrii BYCHKOV ,RUS,19,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
93, David CAUDE ,FRA,20,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
94, Nicolas PINIER ,FRA,21,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
95, Olivier LEBRETON ,FRA,22,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
96, Riccardo SCARIAN ,ITA,23,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
97, Julien MERAL ,FRA,24,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
98, Urh CEHOVIN ,SLO,25,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
99, Ricardo OTEGUI ZUBIYAGA ,ESP,26,UIAA Worldcup - Chamonix (FRA) 1999,boulder,Men
