,Name,Country,Age,Height
0,Ennio MORGANTI,ITA,21, -
1,Juri UNTERKOFLER,ITA,25, -
2,Luca BANA,ITA,26, -
3,Nicolò BALDUCCI,ITA,21, -
4,Jonathan KIEM,ITA,21, -
5,Giorgio TOMATIS,ITA,21, 180
6,Marco RONCHI,ITA,52, -
7,Omar AL KHATIB,ITA,39, -
8,Gian Matteo RAMINI,ITA,27, -
9,Gabriele SCORSOLINI,ITA,24, -
10,Alessandro BIGGI,ITA,55, -
11,Michele_old MAGGIONI,ITA,47, -
12,Alessandro LARCHER,ITA,24, 175
13,Federica MABBONI,ITA,20, -
14,Fabio MONTICELLI,ITA,21, -
15,Nicola GUALANDRIS,ITA,32, -
16,Cristina MIDALI,ITA,32, -
17,Davide BATTISTELLA,ITA,60, -
18,Antonio GIANFELICI,ITA,-, -
19,Valerio CARLOZZI,ITA,-, -
20,Chiara RAGONA,ITA,-, -
21,Evi NIEDERWOLFSGRUBER,ITA,19, -
22,Viola BATTISTELLA,ITA,19, -
23,Federica PAPETTI,ITA,20, -
24,Beatrice COLLI,ITA,19, 171
25,Augusto DE LEO,ITA,21, -
26,Andrea ZAPPINI,ITA,21, -
27,Matteo ZURLONI,ITA,22, -
28,Luca BERTACCO,ITA,23, -
29,Giovanni PLACCI,ITA,22, 155
30,Francesca PEGOLO,ITA,40, -
31,Rosalba ROMANO,ITA,33, -
32,Petra CAMPANA,ITA,23, 159
33,Emanuele QUAGLIA,ITA,20, -
34,Alina BENAZZI,ITA,19, -
35,Elisa LAURETANO,ITA,24, -
36,Martina DE PRETO,ITA,24, -
37,Davide CAPPERUCCI,ITA,22, -
38,Irina DAZIANO,ITA,20, -
39,Caterina DAL ZOTTO,ITA,20, -
40,Riccardo TABARIN,ITA,48, -
41,Silvia ABATE,ITA,22, -
42,Moritz SIGMUND,ITA,24, -
43,Niccolò DITOMMASO,ITA,20, -
44,Antonio TREVISANI,ITA,50, -
45,Alessandro NERI,ITA,61, -
46,Yuri PREZZI,ITA,29, -
47,Nicolò SARTIRANA,ITA,20, 169
48,Sara CARAMELLA,ITA,25, -
49,Justin HAWKINS,RSA,-, -
50,Candice BAGLEY,RSA,33, -
51,Samantha STAINTON,RSA,28, -
52,Calrin CURTIS,RSA,30, -
53,Dylan VOGT,RSA,30, -
54,Oliver MARX,RSA,27, -
55,Katleho POBE,RSA,26, -
56,Jaya CURTIS,RSA,25, -
57,Damien BLOKKER,RSA,23, -
58,Christopher COSSER,RSA,23, 178
59,Gregory Raymond BORMAN,RSA,43, -
60,Adam LUDFORD,RSA,41, -
61,Alexander BERGESEN,RSA,24, -
62,Angela ECKHARDT,RSA,24, -
63,Camilla CIBULKA,RSA,23, -
64,David NAUDE,RSA,23, -
65,Joshua GREAVES,RSA,23, -
66,Nicholas MEINEL,RSA,24, -
67,Chris NAUDE,RSA,66, -
68,Alyssa MEYER,RSA,22, -
69,Abigail STRANGE,RSA,23, -
70,Hannah SEALY-FISHER,RSA,23, -
71,Vanessa SEALY-FISHER,RSA,56, -
72,Alistair STUBBS,RSA,22, -
73,Joshua MUNSTERMANN,RSA,23, -
74,James BARNES,RSA,32, -
75,Colette RODRIGUES,RSA,51, -
76,Joseph ROSENDORFF,RSA,25, -
77,Lucien SETTERBERG,RSA,21, -
78,Georgiana DORWARD,RSA,21, -
79,Jacinth LAPIN,RSA,20, -
80,Jared RODRIGUES,RSA,21, -
81,Shanay MEINTJIES,RSA,23, -
82,Luca BAZZEA,RSA,24, -
83,Monique SMIT,RSA,22, -
84,Naureen BRETHERICK,RSA,46, -
85,Jackie STAINTON,RSA,62, -
86,George STAINTON,RSA,63, -
87,Johandri FOURIE,RSA,23, -
88,Luc PEGRAM,RSA,23, -
89,Ethan COLEMAN,RSA,21, -
90,Kelsey DOWDS,RSA,20, -
91,Nathan BERLIN,RSA,21, -
92,Daniel DE ROUBAIX,RSA,25, -
93,Saskia THOMAS,RSA,29, -
94,Rowan TOSELLI,RSA,36, -
95,Mel JANSE VAN RENSBURG,RSA,22, 174
96,David BERGESEN,RSA,22, -
97,Tony FLYNN,RSA,23, -
98,Monique GOMES DOS SANTOS,RSA,24, -
99,Jaco BURGER,RSA,24, -
100,Aidan HENDRIKS,RSA,23, -
101,Amaya LAKMEEHARAN,RSA,20, -
102,Erin STERKENBURG,RSA,21, 163
103,Danielle VISSER,RSA,20, 174
104,Joshua MYERS,RSA,21, -
105,Nicholas GIANNONE,RSA,19, -
106,Ethan PEARMAN,RSA,20, -
107,Ross LE ROUX,RSA,21, -
108,Luke EBERHARD,RSA,20, -
109,Faran STEENKAMP,RSA,21, -
110,Quincy VEAREY,RSA,22, -
111,Rene LOMBARD,RSA,22, -
112,Emily GRAY,RSA,32, 175
113,Anze SANCA,SLO,47, -
114,Jurij GOLOB,SLO,53, -
115,Urh CEHOVIN,SLO,46, -
