,Name,Country,Age,Height
0,Ziqi XU,CHN,18, -
1,Zoe SAYETTA,USA,33, -
2,Jon MAVKO,USA,30, -
3,Bashar AL HUNEIDI,KUW,62, -
4,Ka Kiu Kelson LAM,HKG,17, -
5,Safwan Saleh ZAINAL AZHAR,MAS,36, -
6,Qun Tao KE,MAS,18, -
7,Aideen NORDIN,MAS,17, -
8,Muhammad Ayman FIRAS,MAS,19, -
9,Mototaka ISHIZU,JPN,18, -
10,Haru FUNAKI,JPN,16, -
11,Ryota TODA,JPN,16, -
12,Moka MOCHIZUKI,JPN,16, -
13,Sawa KAKIZAKI,JPN,16, -
14,Kaho YAMANE,JPN,16, -
15,Manami YAMA,JPN,16, -
16,Kohana MUGISHIMA,JPN,16, -
17,Hareru NAGAMORI,JPN,15, -
18,Sanghyeon HAN,KOR,18, -
19,Tae Heon KIM,KOR,19, -
20,Seongjin MUN,KOR,19, -
21,Hwan LEE,KOR,19, -
22,Doyeon KANG,KOR,18, -
23,Jaewon JUNG,KOR,18, -
24,Jong Eun WON,KOR,18, -
25,Hak Jin LEE,KOR,17, -
26,Yejun CHON,KOR,17, -
27,Yeonjoo JUNG,KOR,14, -
28,Jua LEE,KOR,15, -
29,Suye LEE,KOR,14, -
30,Seunga LEE,KOR,14, -
31,Hyunseung NOH,KOR,16, -
32,Taesung PARK,KOR,15, -
33,Jungbin CHOI,KOR,15, -
34,Chanjin JUNG,KOR,14, -
35,Beomjin PARK,KOR,15, -
36,Ka Wai HUNG,HKG,49, -
37,Ryusei HAMADA,JPN,15, -
38,Eito TAMIYA,JPN,18, 169
39,Raito KATO,JPN,17, -
40,Yua NISHIMURA,JPN,14, -
41,Akane MATSUURA,JPN,15, -
42,Yoonseo LEE,KOR,15, -
43,Sorrasis SANGNARONGRAT,THA,18, -
44,Suphawit SUCHEEP,THA,16, -
45,Yosui SASAHARA,JPN,15, -
46,Mahdisa HAMIDNEZHAD,IRI,16, -
47,Homayoun BAKHTIYARI,IRI,60, -
48,Aki SHINOZAWA,JPN,19, -
49,Matej BOMBAC,SLO,44, -
50,Kiana RASHIDI,IRI,18, -
51,Amirhosein RUOHOLLAHI,IRI,20, -
52,Suhvin PARK,USA,16, -
53,Peter GUSEV,USA,15, -
54,Paloma SLOWIK,USA,18, -
55,Carly ALBA,USA,17, -
56,Jessica WENCE,USA,20, -
57,Gleb SEMYOSHKIN,KAZ,15, -
58,Nurzhan BATYRBEKOV,KAZ,31, -
59,Dararassamee PAKTHONG,THA,23, -
60,Erick Julio LÓPEZ,MEX,44, -
61,Polina ANDREYEVA,KAZ,17, -
62,Rashid KHAIBULLIN,KAZ,15, -
63,Alina TIAN,KGZ,14, -
64,Kundan Kumar SINGH,IND,15, -
65,Alikhan TATAMBAY,KAZ,16, -
66,Arina NOVITSKAYA,KAZ,15, -
67,Babu LAL,IND,28, -
68,Florenciano HENDRICUS MUTTER,INA,62, -
69,Adi Asih KADEK,INA,17, -
70,M. Malik AL FARISI,INA,16, -
71,Neyla AYU PUTRI,INA,16, -
72,Zeist RUMAISHA ZEHRA HANINDRA,INA,16, -
73,Hannah MAYER,USA,18, -
74,Laosan YANG,CHN,26, -
75,Isabella ORNER,USA,17, -
76,Noah FASSIAN,LUX,27, -
77,Oksana GALEJEVA,LAT,50, -
78,Yianting XIONG,CYP,43, -
79,Abdulrahman ABUGHAZALA,KSA,27, 180
80,Nidhal DAQNAH,KSA,22, -
81,Mariam ALERWI,KSA,32, -
82,Taher ALHADDAD,KSA,24, -
83,Sulaiman ALYAHYA,KSA,16, -
84,Sarah ALQUNAYBIT,KSA,24, 161
85,Rowaida ALERWI,KSA,29, -
86,Zuhir ALMALAYOU,KSA,29, -
87,Ahmed ABORSHAID,KSA,27, 170
88,Moutaz FATANI,KSA,29, -
89,Mahdi ALSHOYOKH,KSA,33, 172
90,Nasser ALZUHUFI,KSA,33, -
91,Mohammed JANBI,KSA,30, -
92,Yasmin GAHTANI,KSA,45, -
93,Renato SOLIAMAN,BRA,35, -
94,Maksym CHANKIVSKYI,UKR,39, -
95,Oleksandryna YANENKO,UKR,18, -
96,Vladyslava DOLYNNA,UKR,15, -
97,Kyrylo ANTROPOV,UKR,17, -
98,Dmytro VYSHNEVSKYI,UKR,15, -
99,Valentyn FEDOROV,UKR,16, -
100,Wai Heng WONG,MAC,23, -
101,Si Wan LEI,MAC,19, -
102,Man Hou LAM,MAC,22, -
103,Ka Kei CHU,MAC,27, -
104,Chi Ieng HOI,MAC,22, -
105,Patrick FRASES,AND,57, -
106,Nasser ABU ERGEEB,KUW,26, -
107,Chon Hou LEI,MAC,23, -
108,Elias DIAB,KUW,38, -
109,Mariia FRANKS,UKR,15, -
110,Yevheniia FALIEIEVA,UKR,16, -
111,Kasper SPORRING,DEN,18, -
112,Vigga LØNSKOV,DEN,18, -
113,Enrique BELTRÁN BLASCO,ESP,23, -
114,Oliver HOLM,DEN,30, -
115,Lluis GINER ARNABAT,ESP,61, -
116,Marta ANGULO AGUADO,ESP,59, -
117,Nicholas LUDWIG,SUI,31, -
118,Anastasiia SHEREMETIEVA,UKR,17, -
119,Omid SHEIKHBAHAEI,ESP,34, -
120,Jemima CABANLONG,PHI,28, -
121,Arriane Trixia BARTOLOME,PHI,29, 157
122,John Rafael GARRIDO,PHI,31, -
123,Niño TABANAO,PHI,28, -
124,Glory Ann Carmel DIZON,PHI,26, -
125,Sin Hin UNG,MAC,29, 166
126,Haiyan YU,CHN,49, -
127,Xinying WANG,CHN,53, -
128,Weikang MO,CHN,27, -
129,Piotr MARUSZEWSKI,POL,50, -
130,Lili BOIJER-SPOOF,FIN,15, -
131,Joakim KARELL,FIN,16, -
132,Ruslan LOMONOSOV,UKR,16, -
133,Mengli ZHANG,CHN,21, -
134,Chunhua WU,CHN,17, -
135,Yixin LIU,CHN,19, -
136,Yingyi WU,CHN,23, -
137,Qiyuan ZHANG,CHN,30, -
138,Xiaodong ZHAO,CHN,37, -
139,Adi LEVY,ISR,16, -
140,Vladi RZHEUTSKI,ISR,29, -
141,Mir Abu Zar FAIZ,PAK,19, 181
142,Taneli AUNIO,FIN,32, -
143,Fin SANDECK,GER,17, -
144,Mona SCHMIDT,GER,18, -
145,Mina Josephine SCHULTZ,GER,15, -
146,Frederik HUBER,GER,17, -
147,Anton FASSBENDER,GER,15, -
148,Levi KALSKE,FIN,17, -
149,Omar ABU HAMATTO,JOR,17, -
150,Marwan MA'AYTA,JOR,32, -
151,Haneen QASSEM,JOR,29, -
152,Sharaf ZAID KILANI,JOR,41, -
153,Ali ALSHAREEF,JOR,35, -
154,Abdelqader ALDABBAS,JOR,34, -
155,Sergi EGEA MANRESA,ESP,30, -
156,Woojoo KIM,KOR,15, -
157,Heesu YANG,KOR,17, -
158,Syu-Cheng HUANG,TPE,16, -
159,Ying-Han CHOU,TPE,16, -
160,Kuang-Hsing CHOU,TPE,17, -
161,Jimmy SHAHRUL HISHAM,MAS,15, -
162,Ruifeng WANG,CHN,15, -
163,Xin WANG,CHN,14, -
164,Jingtong CHI,CHN,15, -
165,Zixi HUANG,CHN,15, -
166,Cheng ZHOU,CHN,14, -
167,Shixue MENG,CHN,17, -
168,Zuoxun LI,CHN,17, -
169,Xinwen ZHU,CHN,17, -
170,Jinyi YANG,CHN,19, -
171,Junxiang ZHANG,CHN,19, -
172,Pingcuo QIANGBA,CHN,19, -
173,Octavio ALVAREZ,BOL,41, 178
174,Fabricio Mateo ESCOBAR GOMEZ,BOL,27, -
175,Cheng WANG,CHN,31, -
176,Jing CHEN,CHN,48, -
177,Aibin WANG,CHN,43, -
178,Tiandi LUO,CHN,27, -
179,Hui OUYANG,CHN,41, -
180,Kisato WADA,JPN,17, -
181,Miyu KUGA,JPN,14, -
182,Taizo KAWAGUCHI,JPN,15, -
183,Nagi KARINO,JPN,15, 158
184,Abigail Christiane ARUNGAYAN,PHI,15, -
185,Antonina Isabel ARUNGAYAN,PHI,17, -
186,Nimish Somnath DHANGEKAR,IND,16, -
187,Dakshil MATHURIA,IND,14, -
188,Rakshitha -,IND,16, -
189,Aditya Shankar PILANE,IND,19, -
190,Saumya Vinay KASTURE,IND,15, -
191,Keisetsu ONISHI,JPN,19, -
192,Haku OISHI,JPN,17, -
193,Juan Miguel AZUPARDO,PHI,17, -
194,Huzaifa IMRAN,PAK,17, -
195,Mohammadreza TARLANI,IRI,15, -
196,Farzam DAYYANI,IRI,35, 174
197,Anoosheh VASHEGHANI FARAHANI,IRI,15, -
198,Aliasghar EMARLOO,IRI,19, -
199,Mohammad NAJAR,IRI,39, -
200,Iman EHSANIFAR,IRI,32, -
201,Mohammad MALVANDI,IRI,18, -
202,Amin TAVAKOLI NASAB,IRI,18, -
203,Yousef ARDAMEH,IRI,16, -
204,Abolfazl MOHAMMADI,IRI,17, -
205,Abolfazl MOHAMMADI,IRI,17, -
206,Beesan HALABI,JOR,23, -
207,Mukhammadali YERMETOV,KAZ,19, -
208,Diyar SADRE,KAZ,16, -
209,Yana DIK,KAZ,16, -
210,Assem ISKAKOVA,KAZ,15, -
211,Radmilo JOVANOVIC,SRB,61, -
212,Shahrul Hisham MOHD TAHIR,MAS,46, -
213,Wan Athirah Hidayah AHMAD FUZLI,MAS,27, -
