,Name,Country,Age,Height
0,Arno DIMMLER,GER,57, -
1,Maxi KLAUS,GER,51, -
2,Markus ZÖLL,GER,55, -
3,Udo NEUMANN,GRE,61, -
4,Philipp HROZEK,GER,42, 188
5,Thomas MEIER,GER,64, -
6,Martin SCHLAGETER,GER,58, 178
7,Christopher SMOLKOVIC,GER,38, -
8,Philipp ABELS,GER,38, -
9,Ludwig KORB,GER,57, -
10,Andreas ENGELHARD,GER,61, -
11,Michael FÜCHSLE,GER,57, -
12,Friederike KOPS,GER,41, -
13,Korbinian FRANCK,GER,34, -
14,Christoph REICHERT,GER,49, -
15,Marcel RICHTER,GER,35, 150
16,Friederike TAUTZ,GER,32, -
17,Matthias KELLER,GER,50, -
18,Benjamin BOSCHERT,GER,39, -
19,Dominik HLAWNA,GER,31, -
20,Florian SINGER,GER,25, -
21,Urs STÖCKER,GER,47, -
22,Sebastian DEPKE,GER,38, 145
23,Kevin BARTKE,GER,38, 182
24,Moritz NEUBAUER,GER,45, -
25,Mariana FÜTTERER,GER,37, -
26,Nicholas PERRETH,GER,39, 183
27,Jacqueline FRITZ,GER,39, -
28,Martin VEITH,GER,41, -
29,Alexei KOZLOV,RUS,-, -
30,Alexandre MINAEV,RUS,56, -
31,Alexei SHALYGIN,RUS,-, -
32,Alexander SISINTSEV,RUS,52, -
33,Boris INOZEMZEV,RUS,56, -
34,Dmitrii BYCHKOV,RUS,46, -
35,Jury KRASILNIKOV,RUS,-, -
36,Vladimir NETSVETAEV-DOLGALEV,RUS,54, -
37,Mayya PIRATINSKAYA,RUS,47, -
38,Natalia TITOVA,RUS,45, -
39,Olga BIBIK,RUS,47, -
40,Tatiana RUYGA,RUS,46, -
41,Yulia ABRAMCHUK,RUS,41, -
42,Olga IAKOVLEVA,RUS,41, -
43,Valentina YURINA,RUS,39, -
44,Anna STENKOVAYA,RUS,39, -
45,Vasily KOZLOV,RUS,37, -
46,Sergei SINITCYN,RUS,41, -
47,Evgeniia MALAMID,RUS,37, -
48,Tatiana SHEMULINKINA,RUS,36, -
