,Name,Country,Age,Height
151,Abdollah VAHHABI,IRI,-, -
152,Kittipong KLAEKLA,THA,-, -
153,Yu Hsin LIN,TPE,-, -
154,Jung Wei WEI,TPE,-, -
155,Ankhbold DANGAASUREN,MGL,-, -
156,Erdem Bileg BAYARAA,MGL,-, -
157,Chih Chung WU,TPE,-, -
158,Chuang Cheng HUANG,TPE,-, -
159,Tien Tsai SU,TPE,-, -
160,Yu Chung CHEN,TPE,-, -
161,Jyun Ming LIN,TPE,-, -
162,Stephanie FOSTER,USA,-, -
163,Rachael PROKES,USA,-, -
164,Emily ANDREWS,USA,-, -
165,Kaila GUILMET,USA,-, -
166,Nicole CASSIDY,USA,-, -
167,Elise EBNER,USA,-, -
168,Kara CAPUTO,USA,-, -
169,Thea KNOWLES,USA,-, -
170,Laura THOMPSON,USA,-, -
171,Kate CARR,USA,-, -
172,Darla PIENCIAK,USA,-, -
173,Ali OBREITER,CAN,-, -
174,Cobie MCFALLON,CAN,-, -
175,Sarah WENTZLOFF,CAN,-, -
176,Jennie CRITTENDEN,USA,-, -
177,Christian ELHERT DIAZ,MEX,-, -
178,Andres MEDINA CASTILLO,MEX,-, -
179,Kyle MCFARLAND,USA,-, -
180,Keegan COLE,USA,-, -
181,Tom GEORGEVITS,USA,-, -
182,Adam LIBERT,USA,-, -
183,Dan GAINER,CAN,-, -
184,Wes MIRAGLIO,USA,-, -
185,Royce LEIKER,USA,-, -
186,Max ROSMAN,USA,-, -
187,Sam CLAASSEN,USA,-, -
188,Evan WAUGH,CAN,-, -
189,Adam KAISER,USA,-, -
190,Jay KOOYMAN,CAN,-, -
191,Matt KIERNAN,USA,-, -
192,Evan INGERSON,USA,-, -
193,Jeff TAYLOR,CAN,-, -
194,Alex HERBERT,USA,-, -
195,James POLING,USA,-, -
196,Troy GIBB,USA,-, -
197,Austin WISE,USA,-, -
198,Leon FERNANDEZ ZAVALA,MEX,-, -
199,Ohad BOUSKILA,CAN,-, -
200,Arturo DIAZ MALDONADO,MEX,-, -
201,Ben SCHMITT,USA,-, -
202,Craig HURST,USA,-, -
203,Kyle KUH,USA,-, -
204,Steven RADER,USA,-, -
205,Anja RAKICKAJA,RUS,-, -
206,Elena KRASOVSKAJA,UKR,-, -
207,Elena KOVALEVA,RUS,-, -
208,Alexandr HOPKO,RUS,-, -
209,Dmitriy IVANOV,UKR,-, -
210,Ene VIOREL,ROU,-, -
211,Petr PAVLOVIC,CZE,-, -
212,Werner RUML,AUT,-, -
213,Yves HÄNGGI,SUI,-, -
214,Nick VU,USA,-, -
215,Silvan SCHÜPBACH,SUI,-, -
216,Celine MEHOUAS,FRA,-, -
217,Flor LEAL,GUA,-, -
218,Heather PUCCIO,USA,-, -
219,Maria Camila BOTERO OSSA,COL,-, -
220,Katherine ALVAREZ,ECU,-, -
221,Ambar ACOSTA,VEN,-, -
222,Alina IZMAYLOVA,RUS,-, -
223,Anne Rose WELSH,CHI,-, -
224,Estefania MESIAS,ECU,-, -
225,Shannon LOCHRIDGE,USA,-, -
226,Cassandra PUCCIO,USA,-, -
227,Cix HAMLETT,USA,-, -
228,Catherine MORENO,ECU,-, -
229,Andrea CABRERA,ECU,-, -
230,Ana Maria CASANOVA BRENCHAT,ESP,-, -
231,Anna SHAW,BRA,-, -
232,Lizbeth LEON ORNELAS,MEX,-, -
233,Lauren STEPHENS,USA,-, -
234,Camilla SHAW,BRA,-, -
235,Victoria MAISEY,USA,-, -
236,Gonzalo MEJIA,ECU,-, -
237,Ali LINARES,GUA,-, -
238,Juan ORTEGA,ECU,-, -
239,Nills LEIVA,GUA,-, -
240,Michael PERRY,USA,-, -
241,Louis O'BRIEN,NZL,-, -
242,Jan COBO,ECU,-, -
243,Cristian CORAIZACA,ECU,-, -
244,Cory WILSON,USA,-, -
245,Matt ELSON,USA,-, -
246,Cieran MCBRIDE,NZL,-, -
247,Xavier VALDEZ,ECU,-, -
248,Sam TUCKER,CAN,-, -
249,Jake MEADOWS,CAN,-, -
250,Pedro JARAMILLO,ECU,-, -
251,Nevin HOOK,CAN,-, -
252,Alexey MIKHAYLOV,RUS,-, -
253,Diego GARCÍA,GUA,-, -
254,David LEON,ECU,-, -
255,Juan LUCAS,GUA,-, -
256,Jeremy DAVIDSON,AUS,-, -
257,Juan Diego GARCIA VALENCIA,COL,-, -
258,Felipe ZULUAGA CASTILLO,COL,-, -
259,Vicente ESPINOSA,CHI,-, -
260,Mattias BRAACH-MAKSVYTIS,AUS,-, -
261,Nicolas NAVARRO LOPEZ,COL,-, -
262,Leon Felipe FERNANDEZ ZAVALA,MEX,-, -
263,Andrew SMITH,AUS,-, -
264,Benjamin SCHMITT,USA,-, -
265,Blas SEPULVEDA,CHI,-, -
266,Oscar VILLAMIZAR,COL,-, -
267,Cristian Daniel QUIROZ,COL,-, -
268,Byron MARKS,CAN,-, -
269,Arnaud LEVET,FRA,-, -
270,Edouard GUIS,FRA,-, -
271,Vincent GLEMAREC,FRA,-, -
272,Paul MICHAS,FRA,-, -
273,Julien FERGEAU,FRA,-, -
274,Robin GUDEFIN,FRA,-, -
275,Ja In KIM,KOR,-, -
276,Erna CAHYANTI,INA,-, -
277,Un I CHEANG,CHN,-, -
278,Maria Camille VENTURINA,PHI,-, -
279,Kimberly SINGSON,PHI,-, -
280,Nergui ERDENESUREN,MGL,-, -
281,Gustiana MUSDALIPAH,INA,-, -
282,Dasini Devi KHUMANTHEM,IND,-, -
283,Preeyaporn CHAIYASIT,THA,-, -
284,Porn-Napa SURPINNAWONG,THA,-, -
285,Ming Ler Sarah-Jean TOH,SGP,-, -
286,Riki KISWANI,INA,-, -
287,Bin Rozlan MOHD REDHA,MAS,-, -
288,Lei Ou FONG,CHN,-, -
289,Mahdi NAMRVARI,IRI,-, -
290,Hadinugroho SUSANTO,INA,-, -
291,Purnawati ANITAMA,INA,-, -
292,Sugiarti NANI,INA,-, -
293,Jiyu ZHOU,CHN,-, -
294,Xuan YANG,CHN,-, -
295,Jihong PENG,CHN,-, -
296,Setiawan BEKTI,INA,-, -
297,Anatoliy LEONTYEV,KAZ,-, -
298,Serik AIDABASSYNOV,KAZ,-, -
299,Zhenyu MI,CHN,-, -
300,Hengbo SU,CHN,-, -
301,Siswanto BAMBANG,INA,-, -
302,Hsiang-Hsiu LIU,TPE,-, -
303,Chun- Ming KUO,TPE,-, -
304,Yustina TRIASTUTI,INA,-, -
305,Yekaterina BATYRKHANOVA,KAZ,-, -
306,Neha KUSHE,IND,-, -
307,Bastiah BASTIAH,INA,-, -
308,Maneenoot KANANTAI,THA,-, -
309,Elena SHEVTSOVA,KGZ,-, -
310,Bayu PARA CELLA,INA,-, -
311,Afmi Topa RAHMAD,INA,-, -
312,Hing Wah CHOW,HKG,-, -
313,Qvan HIDAYAT,INA,-, -
314,Ka Chun YAU,HKG,-, -
315,Yat Lam FONG,HKG,-, -
316,Ganzorig BAATARCHULUUN,MGL,35, -
