,Name,Country,Age,Height
0,Liubov ZIMOVA,UKR,71, -
1,Artur PECHII,UKR,54, -
2,Mykhayil TKACHUK,UKR,24, -
3,Anastasiia SALABASH,UKR,22, -
4,Oleksandra KAPLINA,UKR,22, -
5,Oleksii KRYNETSKYI,UKR,23, -
6,Alisa LUPYNSKA,UKR,23, -
7,Kateryna KOLMATSUI,UKR,22, -
8,Artem HLUSHKO,UKR,22, -
9,Yegor SHAPOVALOV,UKR,22, -
10,Anton BOROZENETS,UKR,24, -
11,Yaroslav TKACH,UKR,22, 182
12,Mykhailo TKACHOV,UKR,22, -
13,Leonid OSADCHYI,UKR,22, -
14,Anastasiia FISENKO,UKR,23, -
15,Pavlo BOZHKO,UKR,25, -
16,Artem MANIAKIN,UKR,22, -
17,Tetiana KOLKOTINA,UKR,31, 165
18,Ihor TIAPKIN,UKR,37, -
19,Anton KUKHAR,UKR,38, -
20,Kyrylo SHCHUPII,UKR,23, -
21,Mykola BYELOV,UKR,22, -
22,Yevhen TKACHENKO,UKR,35, -
23,Ivan FILIPIUK,UKR,23, -
24,Oleksandr LABETS,UKR,23, -
25,Mykola SILEVYCH,UKR,34, -
26,Nika POTAPOVA,UKR,21, 154
27,Kseniia MELNYKOVA,UKR,33, -
28,Anna BANNIK,UKR,22, -
29,Yelyzaveta ZHOLOBKO,UKR,20, -
30,Daniella POPOVA,UKR,21, -
31,Sofia TERENTIEVA,UKR,20, -
32,Sofiia HLADKA,UKR,20, 175
33,Hlib SUKHOVOI,UKR,21, -
34,Bohdan BOTNAR,UKR,22, -
35,Anastasiia TISHCHENKO,UKR,21, -
36,Yelyzaveta LAVRYKOVA,UKR,23, -
37,Tetiana ZAIETS,UKR,23, -
38,Nil PLOKHOV,UKR,23, -
39,Maksym YAKOVLEV,UKR,20, -
40,Fedir RAZINKOV,UKR,22, -
41,Mykhailo DRACHENKO,UKR,20, -
42,Illia MANIAKIN,UKR,20, 183
43,Yevheniia CHERNIAVSKA,UKR,37, -
44,Artem PAUKAIEV,UKR,29, -
45,Kateryna SHEVCHENKO,UKR,20, -
46,Valentyna MARENYCH,UKR,63, -
47,Hryhorii ILCHYSHYN,UKR,19, -
48,Yevgen ZOLOTAREV,UKR,20, -
49,Olha SOKOLOVA,UKR,22, -
50,Kateryna PEDKO,UKR,20, -
51,Ihor ROBOTA,UKR,28, -
52,Maksym NIMEROVSKYI,UKR,25, -
53,Danylo NAZARENKO,UKR,25, -
54,Viktor REMNIEV,UKR,56, -
55,Arina OPASHKO,UKR,20, -
56,Jim SANDFORD,CAN,-, -
57,Stacey WELDON,CAN,39, -
58,Jason HOLOWACH,CAN,39, -
59,Sean MCCOLL,CAN,36, 169
60,Jj MAH,CAN,35, -
61,Jelisa DUNBAR,CAN,35, -
62,Celeste WALL,CAN,34, -
63,Matt JOHNSON,CAN,36, -
64,Eric SETHNA,CAN,32, -
65,Alannah YIP,CAN,30, 164
66,Christy SPURRELL,CAN,31, -
67,Ayodele SOPEJU,CAN,43, -
68,Elise SETHNA,CAN,30, -
69,Alison STEWART-PATTERSON,CAN,30, -
70,Jaylene PRATT,CAN,32, -
71,Sebastien LAZURE,CAN,34, -
72,Andre DIFELICE,CAN,33, -
73,Marc EVELEIGH,CAN,29, -
74,Robert STEWART-PATTERSON,CAN,28, -
75,Pia GRAHAM,CAN,27, -
76,Elan JONASMCRAE,CAN,29, -
77,Rebecca FRANGOS,CAN,26, -
78,Alyssa WEBER,CAN,28, -
79,Allison VEST,CAN,28, 171
80,Tristen GOSSELIN,CAN,27, -
81,Matthew WELLINGTON,CAN,29, -
82,Remington IRWIN,CAN,24, -
83,Alex FRICKER,CAN,24, -
84,Christopher NEVE,CAN,52, -
85,Ron GOSSELIN,CAN,68, -
86,Nathan SMITH,CAN,26, -
87,Terry SPURRELL,CAN,62, -
88,Francis BILODEAU,CAN,29, -
89,Mika HOSOI,CAN,25, -
90,Eva THOMPSON,CAN,26, -
91,Elizabeth VINCE,CAN,26, -
92,Kyle MURDOCH,CAN,25, -
93,Lucas UCHIDA,CAN,26, -
94,Kate SAWFORD,CAN,42, -
95,Kimanda JARZEBIAK,CAN,51, -
96,Samantha LI,CAN,40, -
97,Gavin JOHNSON,CAN,29, -
98,Adrian DAS,CAN,52, -
99,Olivia WYETT,CAN,26, -
100,Jack WYETT,CAN,24, -
101,Guillaume SIROIS,CAN,24, -
102,Catherine CARKNER,CAN,23, -
103,Shaun HUNTER,CAN,37, -
104,Jesse TAPLIN,CAN,35, -
105,Kristina JELLEMA,CAN,32, -
106,Jake TIGER,CAN,32, -
107,Julien BOURASSA-MOREAU,CAN,33, -
108,Andrew WILSON,CAN,52, -
109,Malek TALEB,UKR,45, -
110,Hayden JONES,CAN,24, -
111,Dylan SAFFERY,CAN,24, -
112,Manh ELLIS,CAN,23, -
113,Mitchell HAIGHT,CAN,22, -
114,Zach RICHARDSON,CAN,23, -
115,Justine MCCARNEY,CAN,25, -
116,Sophie BUITENDYK,CAN,23, -
117,Chloe EARLE,CAN,23, 167
118,Sonja JOHANSON,CAN,23, -
119,Bronwen KARNIS,CAN,24, -
