,Athlete,Athlete_Country,Rank,Event_Name,Discipline,Category
42, Andrea GALLO ,ITA,43,UIAA Worldcup - Wien 1991,lead,Men
43, Yann GHESQUIERS ,FRA,43,UIAA Worldcup - Wien 1991,lead,Men
44, Doug ENGLEKIRK ,USA,45,UIAA Worldcup - Wien 1991,lead,Men
45, Vili GUCEK ,SLO,45,UIAA Worldcup - Wien 1991,lead,Men
46, Thomas HUBER ,GER,45,UIAA Worldcup - Wien 1991,lead,Men
47, Marko LUKIC ,SLO,45,UIAA Worldcup - Wien 1991,lead,Men
48, Michael MATLSCHWAIGER ,AUT,45,UIAA Worldcup - Wien 1991,lead,Men
49, Frédéric NICOLE ,SUI,45,UIAA Worldcup - Wien 1991,lead,Men
50, Michael FADINGER ,AUT,51,UIAA Worldcup - Wien 1991,lead,Men
51, Werner HOFMANS ,BEL,51,UIAA Worldcup - Wien 1991,lead,Men
52, Leszek MILCZAREK ,POL,51,UIAA Worldcup - Wien 1991,lead,Men
53, Oleg TCHERECHNEV ,RUS,54,UIAA Worldcup - Wien 1991,lead,Men
54, Luca GIUPPONI ,ITA,55,UIAA Worldcup - Wien 1991,lead,Men
55, Tomas PILKA ,CZE,55,UIAA Worldcup - Wien 1991,lead,Men
56, Tomas CADA ,CZE,57,UIAA Worldcup - Wien 1991,lead,Men
57, Kevin WILSON ,CAN,57,UIAA Worldcup - Wien 1991,lead,Men
58, Mark DELAFIELD ,GBR,59,UIAA Worldcup - Wien 1991,lead,Men
59, Krzysztof KUCHARCZYK ,POL,59,UIAA Worldcup - Wien 1991,lead,Men
60, Colin LANTZ ,USA,59,UIAA Worldcup - Wien 1991,lead,Men
61, Dorian SUC ,SLO,59,UIAA Worldcup - Wien 1991,lead,Men
62, Glenn SUTCLIFFE ,GBR,59,UIAA Worldcup - Wien 1991,lead,Men
63, Motomu TSUGE ,JPN,59,UIAA Worldcup - Wien 1991,lead,Men
64, Kelly WILSON ,CAN,59,UIAA Worldcup - Wien 1991,lead,Men
65, Jose FERREIRA ,POR,66,UIAA Worldcup - Wien 1991,lead,Men
66, Tadej SLABE ,SLO,66,UIAA Worldcup - Wien 1991,lead,Men
67, Tsutomu TANAKA ,JPN,68,UIAA Worldcup - Wien 1991,lead,Men
68, Plamen DEKOV ,BUL,69,UIAA Worldcup - Wien 1991,lead,Men
69, Jean Paul FINNE ,BEL,69,UIAA Worldcup - Wien 1991,lead,Men
70, Isabelle PATISSIER ,FRA,1,UIAA Worldcup - Wien 1991,lead,Women
71, Lynn HILL ,USA,2,UIAA Worldcup - Wien 1991,lead,Women
72, Nanette RAYBAUD ,FRA,3,UIAA Worldcup - Wien 1991,lead,Women
73, Susi GOOD ,SUI,4,UIAA Worldcup - Wien 1991,lead,Women
74, Robyn ERBESFIELD ,USA,5,UIAA Worldcup - Wien 1991,lead,Women
75, Luisa IOVANE ,ITA,6,UIAA Worldcup - Wien 1991,lead,Women
76, Anna IBANEZ-TUDORAS ,ESP,7,UIAA Worldcup - Wien 1991,lead,Women
77, Catherine GLOESENER ,BEL,8,UIAA Worldcup - Wien 1991,lead,Women
78, Agnès BRARD ,FRA,9,UIAA Worldcup - Wien 1991,lead,Women
79, Isabelle DORSIMOND ,BEL,10,UIAA Worldcup - Wien 1991,lead,Women
80, Venera CHERESHNEVA ,RUS,11,UIAA Worldcup - Wien 1991,lead,Women
81, Andrea EISENHUT ,GER,12,UIAA Worldcup - Wien 1991,lead,Women
82, Corinne LABRUNE ,FRA,13,UIAA Worldcup - Wien 1991,lead,Women
83, Iwona GRONKIEWICZ-MARCISZ ,POL,14,UIAA Worldcup - Wien 1991,lead,Women
84, Gunda FRÜHWALD ,GER,15,UIAA Worldcup - Wien 1991,lead,Women
85, Felicity BUTLER ,GBR,16,UIAA Worldcup - Wien 1991,lead,Women
86, Isabelle LAFFONT ,FRA,17,UIAA Worldcup - Wien 1991,lead,Women
87, Pascale NOEL ,LUX,18,UIAA Worldcup - Wien 1991,lead,Women
88, Natalie RICHER ,FRA,18,UIAA Worldcup - Wien 1991,lead,Women
89, Marie-luise KILCHÖR ,SUI,20,UIAA Worldcup - Wien 1991,lead,Women
90, Jill GARDINER ,GBR,21,UIAA Worldcup - Wien 1991,lead,Women
91, Martina POLACKOVA ,SVK,21,UIAA Worldcup - Wien 1991,lead,Women
92, Jola SANDFORD ,CAN,23,UIAA Worldcup - Wien 1991,lead,Women
93, Daniela LUZZINI ,ITA,24,UIAA Worldcup - Wien 1991,lead,Women
94, Marianne BERGER ,FRA,25,UIAA Worldcup - Wien 1991,lead,Women
95, Marie-annick PIAT ,FRA,25,UIAA Worldcup - Wien 1991,lead,Women
96, Pascale MATERA ,FRA,27,UIAA Worldcup - Wien 1991,lead,Women
97, Eriko MOGI ,JPN,27,UIAA Worldcup - Wien 1991,lead,Women
98, Barbara STRANSKA ,CZE,27,UIAA Worldcup - Wien 1991,lead,Women
99, Ineke DIJKSTRA ,NED,30,UIAA Worldcup - Wien 1991,lead,Women
100, Ivana CADOVA ,CZE,31,UIAA Worldcup - Wien 1991,lead,Women
101, Metka LUKANCIC ,SLO,31,UIAA Worldcup - Wien 1991,lead,Women
102, Tamara SCHLEMMER ,GER,31,UIAA Worldcup - Wien 1991,lead,Women
103, Larisa SPELMAN ,RUS,31,UIAA Worldcup - Wien 1991,lead,Women
104, Rita CSOULIMOVSKA ,RUS,35,UIAA Worldcup - Wien 1991,lead,Women
105, Karin KAVOUSSI ,AUT,35,UIAA Worldcup - Wien 1991,lead,Women
106, Agnes KUBISTA-NUGENT ,AUT,35,UIAA Worldcup - Wien 1991,lead,Women
107, Miranda ORTAR ,SLO,35,UIAA Worldcup - Wien 1991,lead,Women
108, Dagmar PFAFFENBICHLER ,AUT,35,UIAA Worldcup - Wien 1991,lead,Women
109, Shelly PRESSON ,USA,35,UIAA Worldcup - Wien 1991,lead,Women
110, Brigitte SCHNEIDER ,AUT,35,UIAA Worldcup - Wien 1991,lead,Women
111, Catherine VALLET ,FRA,35,UIAA Worldcup - Wien 1991,lead,Women
112, Catherine MUSSO ,FRA,43,UIAA Worldcup - Wien 1991,lead,Women
113, Georgia PHIPPS ,USA,44,UIAA Worldcup - Wien 1991,lead,Women
114, François LEGRAND ,FRA,1,UIAA Worldcup - Clusone 1991,lead,Men
115, Didier RABOUTOU ,FRA,2,UIAA Worldcup - Clusone 1991,lead,Men
116, Evgeny OVCHINNIKOV ,RUS,3,UIAA Worldcup - Clusone 1991,lead,Men
117, Salavat RAKHMETOV ,RUS,4,UIAA Worldcup - Clusone 1991,lead,Men
118, Frédéric NICOLE ,SUI,5,UIAA Worldcup - Clusone 1991,lead,Men
119, Elie CHEVIEUX ,SUI,6,UIAA Worldcup - Clusone 1991,lead,Men
120, Jean-baptiste TRIBOUT ,FRA,7,UIAA Worldcup - Clusone 1991,lead,Men
121, François LOMBARD ,FRA,8,UIAA Worldcup - Clusone 1991,lead,Men
122, Philippe STEULET ,SUI,9,UIAA Worldcup - Clusone 1991,lead,Men
123, Stéphane POUSSARDIN ,FRA,10,UIAA Worldcup - Clusone 1991,lead,Men
124, Robert CORTIJO ,FRA,11,UIAA Worldcup - Clusone 1991,lead,Men
125, Guido KÖSTERMEYER ,GER,12,UIAA Worldcup - Clusone 1991,lead,Men
126, Stefan FÜRST ,AUT,13,UIAA Worldcup - Clusone 1991,lead,Men
127, François PETIT ,FRA,14,UIAA Worldcup - Clusone 1991,lead,Men
128, Stefano ALIPPI ,ITA,15,UIAA Worldcup - Clusone 1991,lead,Men
129, Patxi AROCENA ,ESP,16,UIAA Worldcup - Clusone 1991,lead,Men
130, Serge BLEIN ,FRA,16,UIAA Worldcup - Clusone 1991,lead,Men
131, Jacky GODOFFE ,FRA,18,UIAA Worldcup - Clusone 1991,lead,Men
132, Yann GHESQUIERS ,FRA,19,UIAA Worldcup - Clusone 1991,lead,Men
133, Txema GOMEZ ,ESP,19,UIAA Worldcup - Clusone 1991,lead,Men
134, Andrea DI BARI ,ITA,21,UIAA Worldcup - Clusone 1991,lead,Men
135, Piotr KORCZAK ,POL,22,UIAA Worldcup - Clusone 1991,lead,Men
136, Luca GIUPPONI ,ITA,23,UIAA Worldcup - Clusone 1991,lead,Men
137, Josef SCHWAIGER ,AUT,24,UIAA Worldcup - Clusone 1991,lead,Men
138, Pavel SAMOILINE ,RUS,25,UIAA Worldcup - Clusone 1991,lead,Men
139, Tadej SLABE ,SLO,25,UIAA Worldcup - Clusone 1991,lead,Men
140, Mark DELAFIELD ,GBR,27,UIAA Worldcup - Clusone 1991,lead,Men
141, Stéphane BRETTE ,FRA,28,UIAA Worldcup - Clusone 1991,lead,Men
142, Jindrich HUDECEK ,CZE,29,UIAA Worldcup - Clusone 1991,lead,Men
143, Anton PACEK ,SVK,29,UIAA Worldcup - Clusone 1991,lead,Men
144, Pavol ZAUSKA ,SVK,29,UIAA Worldcup - Clusone 1991,lead,Men
145, Stefan GLOWACZ ,GER,32,UIAA Worldcup - Clusone 1991,lead,Men
146, Alec BRONITZ ,BEL,33,UIAA Worldcup - Clusone 1991,lead,Men
147, Jae-yong LEE ,KOR,34,UIAA Worldcup - Clusone 1991,lead,Men
148, Hannes RIESER ,AUT,35,UIAA Worldcup - Clusone 1991,lead,Men
149, Andrzej MARCISZ ,POL,36,UIAA Worldcup - Clusone 1991,lead,Men
150, Mark BAKER ,AUS,37,UIAA Worldcup - Clusone 1991,lead,Men
151, Alberto GNERRO ,ITA,37,UIAA Worldcup - Clusone 1991,lead,Men
152, Jean Paul FINNE ,BEL,39,UIAA Worldcup - Clusone 1991,lead,Men
153, Matej MEJOVSEK ,SLO,39,UIAA Worldcup - Clusone 1991,lead,Men
154, Cristian BRENNA ,ITA,41,UIAA Worldcup - Clusone 1991,lead,Men
155, Andrea GALLO ,ITA,42,UIAA Worldcup - Clusone 1991,lead,Men
156, Arnould T'KINT ,BEL,42,UIAA Worldcup - Clusone 1991,lead,Men
157, Marzio NARDI ,ITA,44,UIAA Worldcup - Clusone 1991,lead,Men
158, Keiichi USHIZAWA ,JPN,45,UIAA Worldcup - Clusone 1991,lead,Men
159, Kelly WILSON ,CAN,45,UIAA Worldcup - Clusone 1991,lead,Men
160, Hans FLORINE ,USA,47,UIAA Worldcup - Clusone 1991,lead,Men
161, Vili GUCEK ,SLO,47,UIAA Worldcup - Clusone 1991,lead,Men
162, Marc IVORRA ,FRA,47,UIAA Worldcup - Clusone 1991,lead,Men
163, Vladimir JOURKIN ,RUS,47,UIAA Worldcup - Clusone 1991,lead,Men
164, Riccardo SCARIAN ,ITA,47,UIAA Worldcup - Clusone 1991,lead,Men
165, Ernestino COCCHETTI ,ITA,52,UIAA Worldcup - Clusone 1991,lead,Men
166, Heinz GUT ,SUI,53,UIAA Worldcup - Clusone 1991,lead,Men
167, Alessandro LAMBERTI BOCCONI ,ITA,53,UIAA Worldcup - Clusone 1991,lead,Men
168, Tony RYAN ,GBR,55,UIAA Worldcup - Clusone 1991,lead,Men
169, Scott MILTON ,CAN,56,UIAA Worldcup - Clusone 1991,lead,Men
170, Rae-kyung PARK ,KOR,56,UIAA Worldcup - Clusone 1991,lead,Men
171, Tomasz SAMITOWSKI ,POL,58,UIAA Worldcup - Clusone 1991,lead,Men
172, Hira VERICK ,AUS,58,UIAA Worldcup - Clusone 1991,lead,Men
173, Kevin WILSON ,CAN,58,UIAA Worldcup - Clusone 1991,lead,Men
174, Severino SCASSA ,ITA,61,UIAA Worldcup - Clusone 1991,lead,Men
175, Glenn SUTCLIFFE ,GBR,62,UIAA Worldcup - Clusone 1991,lead,Men
176, Scott FRANKLIN ,USA,63,UIAA Worldcup - Clusone 1991,lead,Men
177, Keefe MURPHY ,IRL,64,UIAA Worldcup - Clusone 1991,lead,Men
178, Klaus BÜCHELE ,GER,65,UIAA Worldcup - Clusone 1991,lead,Men
179, Doug ENGLEKIRK ,USA,66,UIAA Worldcup - Clusone 1991,lead,Men
180, Michael FADINGER ,AUT,67,UIAA Worldcup - Clusone 1991,lead,Men
181, Susi GOOD ,SUI,1,UIAA Worldcup - Clusone 1991,lead,Women
182, Isabelle PATISSIER ,FRA,2,UIAA Worldcup - Clusone 1991,lead,Women
183, Luisa IOVANE ,ITA,3,UIAA Worldcup - Clusone 1991,lead,Women
184, Andrea EISENHUT ,GER,4,UIAA Worldcup - Clusone 1991,lead,Women
185, Robyn ERBESFIELD ,USA,5,UIAA Worldcup - Clusone 1991,lead,Women
186, Isabelle DORSIMOND ,BEL,6,UIAA Worldcup - Clusone 1991,lead,Women
187, Catherine BARDON ,FRA,7,UIAA Worldcup - Clusone 1991,lead,Women
188, Venera CHERESHNEVA ,RUS,7,UIAA Worldcup - Clusone 1991,lead,Women
189, Iwona GRONKIEWICZ-MARCISZ ,POL,7,UIAA Worldcup - Clusone 1991,lead,Women
190, Anna IBANEZ-TUDORAS ,ESP,7,UIAA Worldcup - Clusone 1991,lead,Women
191, Felicity BUTLER ,GBR,11,UIAA Worldcup - Clusone 1991,lead,Women
192, Paola PONS ,ITA,12,UIAA Worldcup - Clusone 1991,lead,Women
193, Nanette RAYBAUD ,FRA,13,UIAA Worldcup - Clusone 1991,lead,Women
194, Lynn HILL ,USA,14,UIAA Worldcup - Clusone 1991,lead,Women
195, Natalia KOSMACHEVA ,RUS,15,UIAA Worldcup - Clusone 1991,lead,Women
196, Natalie RICHER ,FRA,16,UIAA Worldcup - Clusone 1991,lead,Women
197, Claudine TRECOURT ,FRA,17,UIAA Worldcup - Clusone 1991,lead,Women
198, Monica MALGAROTTO ,ITA,18,UIAA Worldcup - Clusone 1991,lead,Women
199, Ineke DIJKSTRA ,NED,19,UIAA Worldcup - Clusone 1991,lead,Women
200, Raffaella VALSECCHI ,ITA,20,UIAA Worldcup - Clusone 1991,lead,Women
201, Yulia INOZEMTSEVA ,RUS,21,UIAA Worldcup - Clusone 1991,lead,Women
202, Pascale NOEL ,LUX,21,UIAA Worldcup - Clusone 1991,lead,Women
203, Miranda ORTAR ,SLO,23,UIAA Worldcup - Clusone 1991,lead,Women
204, Daniela LUZZINI ,ITA,24,UIAA Worldcup - Clusone 1991,lead,Women
205, Jill GARDINER ,GBR,25,UIAA Worldcup - Clusone 1991,lead,Women
206, Barbara HIRSCHBICHLER ,GER,25,UIAA Worldcup - Clusone 1991,lead,Women
207, Corinne LABRUNE ,FRA,25,UIAA Worldcup - Clusone 1991,lead,Women
208, Daniela VANHAROVA ,CZE,28,UIAA Worldcup - Clusone 1991,lead,Women
209, Mihaela CRACIUN-PANTIS ,ROU,29,UIAA Worldcup - Clusone 1991,lead,Women
210, Agnès BRARD ,FRA,30,UIAA Worldcup - Clusone 1991,lead,Women
211, Marie-annick PIAT ,FRA,30,UIAA Worldcup - Clusone 1991,lead,Women
212, Isabelle LAFFONT ,FRA,32,UIAA Worldcup - Clusone 1991,lead,Women
213, Tamara SCHLEMMER ,GER,32,UIAA Worldcup - Clusone 1991,lead,Women
214, Simona SKARJA ,SLO,34,UIAA Worldcup - Clusone 1991,lead,Women
215, Karin BLESS-REITH ,SUI,35,UIAA Worldcup - Clusone 1991,lead,Women
216, Gunda FRÜHWALD ,GER,35,UIAA Worldcup - Clusone 1991,lead,Women
217, Delyth GOODEY ,GBR,35,UIAA Worldcup - Clusone 1991,lead,Women
218, Dagmar PFAFFENBICHLER ,AUT,35,UIAA Worldcup - Clusone 1991,lead,Women
219, Metka LUKANCIC ,SLO,39,UIAA Worldcup - Clusone 1991,lead,Women
220, Taitiana DMITRIEVSKAYA ,RUS,40,UIAA Worldcup - Clusone 1991,lead,Women
221, Raffaella NEGRETTI ,ITA,41,UIAA Worldcup - Clusone 1991,lead,Women
222, Catherine VALLET ,FRA,42,UIAA Worldcup - Clusone 1991,lead,Women
223, Stefanie SCHREIBER ,GER,43,UIAA Worldcup - Clusone 1991,lead,Women
224, Larisa SPELMAN ,RUS,43,UIAA Worldcup - Clusone 1991,lead,Women
225, Antonella STRANO ,ITA,43,UIAA Worldcup - Clusone 1991,lead,Women
226, Salavat RAKHMETOV ,RUS,1,UIAA Worldcup - Innsbruck 1991,lead,Men
227, Yuji HIRAYAMA ,JPN,2,UIAA Worldcup - Innsbruck 1991,lead,Men
228, François LEGRAND ,FRA,2,UIAA Worldcup - Innsbruck 1991,lead,Men
229, Ben MOON ,GBR,2,UIAA Worldcup - Innsbruck 1991,lead,Men
230, Jean-baptiste TRIBOUT ,FRA,2,UIAA Worldcup - Innsbruck 1991,lead,Men
231, François LOMBARD ,FRA,6,UIAA Worldcup - Innsbruck 1991,lead,Men
232, Didier RABOUTOU ,FRA,7,UIAA Worldcup - Innsbruck 1991,lead,Men
233, Klaus BÜCHELE ,GER,8,UIAA Worldcup - Innsbruck 1991,lead,Men
234, Evgeny OVCHINNIKOV ,RUS,9,UIAA Worldcup - Innsbruck 1991,lead,Men
235, Doug ENGLEKIRK ,USA,10,UIAA Worldcup - Innsbruck 1991,lead,Men
236, Stefan FÜRST ,AUT,10,UIAA Worldcup - Innsbruck 1991,lead,Men
237, Luca ZARDINI ,ITA,12,UIAA Worldcup - Innsbruck 1991,lead,Men
238, Robert CORTIJO ,FRA,13,UIAA Worldcup - Innsbruck 1991,lead,Men
239, Patxi AROCENA ,ESP,14,UIAA Worldcup - Innsbruck 1991,lead,Men
240, Severino SCASSA ,ITA,15,UIAA Worldcup - Innsbruck 1991,lead,Men
241, Tadej SLABE ,SLO,16,UIAA Worldcup - Innsbruck 1991,lead,Men
242, Jim KARN ,USA,17,UIAA Worldcup - Innsbruck 1991,lead,Men
243, Txema GOMEZ ,ESP,18,UIAA Worldcup - Innsbruck 1991,lead,Men
244, Alexei TCHERTOV ,RUS,19,UIAA Worldcup - Innsbruck 1991,lead,Men
245, Guido KÖSTERMEYER ,GER,20,UIAA Worldcup - Innsbruck 1991,lead,Men
246, Stefano ALIPPI ,ITA,21,UIAA Worldcup - Innsbruck 1991,lead,Men
247, Kairat RAKHMETOV ,KAZ,21,UIAA Worldcup - Innsbruck 1991,lead,Men
248, Scott FRANKLIN ,USA,23,UIAA Worldcup - Innsbruck 1991,lead,Men
249, Juri LISSOVOI ,RUS,24,UIAA Worldcup - Innsbruck 1991,lead,Men
250, Pavel SAMOILINE ,RUS,24,UIAA Worldcup - Innsbruck 1991,lead,Men
251, Andrea GALLO ,ITA,26,UIAA Worldcup - Innsbruck 1991,lead,Men
252, Jean Paul FINNE ,BEL,27,UIAA Worldcup - Innsbruck 1991,lead,Men
253, Frédéric NICOLE ,SUI,28,UIAA Worldcup - Innsbruck 1991,lead,Men
254, Christoph BUCHER ,GER,29,UIAA Worldcup - Innsbruck 1991,lead,Men
255, Mark DELAFIELD ,GBR,30,UIAA Worldcup - Innsbruck 1991,lead,Men
256, Kurt DE BOECK ,BEL,31,UIAA Worldcup - Innsbruck 1991,lead,Men
257, Michael FADINGER ,AUT,32,UIAA Worldcup - Innsbruck 1991,lead,Men
258, Andrzej MARCISZ ,POL,33,UIAA Worldcup - Innsbruck 1991,lead,Men
259, Hannes RIESER ,AUT,33,UIAA Worldcup - Innsbruck 1991,lead,Men
260, Elie CHEVIEUX ,SUI,35,UIAA Worldcup - Innsbruck 1991,lead,Men
261, Heinz GUT ,SUI,35,UIAA Worldcup - Innsbruck 1991,lead,Men
262, Vladimir JOURKIN ,RUS,35,UIAA Worldcup - Innsbruck 1991,lead,Men
263, Geoff WEIGAND ,AUS,38,UIAA Worldcup - Innsbruck 1991,lead,Men
264, Luca GIUPPONI ,ITA,39,UIAA Worldcup - Innsbruck 1991,lead,Men
265, Anton PACEK ,SVK,39,UIAA Worldcup - Innsbruck 1991,lead,Men
266, Serge BLEIN ,FRA,41,UIAA Worldcup - Innsbruck 1991,lead,Men
267, Jindrich HUDECEK ,CZE,41,UIAA Worldcup - Innsbruck 1991,lead,Men
268, Clemens LOSKOT ,AUT,41,UIAA Worldcup - Innsbruck 1991,lead,Men
269, Nicola SARTORI ,ITA,41,UIAA Worldcup - Innsbruck 1991,lead,Men
270, Philippe STEULET ,SUI,41,UIAA Worldcup - Innsbruck 1991,lead,Men
271, Oleg TCHERECHNEV ,RUS,46,UIAA Worldcup - Innsbruck 1991,lead,Men
272, Keiichi USHIZAWA ,JPN,47,UIAA Worldcup - Innsbruck 1991,lead,Men
273, Marcel TOMAN ,CZE,48,UIAA Worldcup - Innsbruck 1991,lead,Men
274, Michael MATLSCHWAIGER ,AUT,49,UIAA Worldcup - Innsbruck 1991,lead,Men
275, Kelly WILSON ,CAN,49,UIAA Worldcup - Innsbruck 1991,lead,Men
276, François COFFY ,FRA,51,UIAA Worldcup - Innsbruck 1991,lead,Men
277, Erik JACOBS ,NED,51,UIAA Worldcup - Innsbruck 1991,lead,Men
278, Giorgio MANICA ,ITA,51,UIAA Worldcup - Innsbruck 1991,lead,Men
279, Matej MEJOVSEK ,SLO,51,UIAA Worldcup - Innsbruck 1991,lead,Men
280, Vasil KIROV ,BUL,55,UIAA Worldcup - Innsbruck 1991,lead,Men
281, Kevin WILSON ,CAN,56,UIAA Worldcup - Innsbruck 1991,lead,Men
282, Mark BAKER ,AUS,57,UIAA Worldcup - Innsbruck 1991,lead,Men
283, Reinhard SCHIRL ,AUT,57,UIAA Worldcup - Innsbruck 1991,lead,Men
284, Philippe LELOUP ,BEL,59,UIAA Worldcup - Innsbruck 1991,lead,Men
285, Kornel RAVADITS ,HUN,59,UIAA Worldcup - Innsbruck 1991,lead,Men
286, Jakob DRÖMMER ,GER,61,UIAA Worldcup - Innsbruck 1991,lead,Men
287, Hans FLORINE ,USA,61,UIAA Worldcup - Innsbruck 1991,lead,Men
288, Vili GUCEK ,SLO,61,UIAA Worldcup - Innsbruck 1991,lead,Men
289, Henrik SUIKHONEN ,SWE,61,UIAA Worldcup - Innsbruck 1991,lead,Men
290, Petrov PLAMEN ,BUL,65,UIAA Worldcup - Innsbruck 1991,lead,Men
291, Peter THALLER ,AUT,65,UIAA Worldcup - Innsbruck 1991,lead,Men
292, Stefan ADRIAN ,ROU,67,UIAA Worldcup - Innsbruck 1991,lead,Men
293, Josef SCHWAIGER ,AUT,67,UIAA Worldcup - Innsbruck 1991,lead,Men
294, Peter GOMERSALL ,GBR,69,UIAA Worldcup - Innsbruck 1991,lead,Men
295, Andras TIBOLDI ,HUN,69,UIAA Worldcup - Innsbruck 1991,lead,Men
296, Ivan TEMELKOV ,BUL,71,UIAA Worldcup - Innsbruck 1991,lead,Men
297, Nanette RAYBAUD ,FRA,1,UIAA Worldcup - Innsbruck 1991,lead,Women
298, Robyn ERBESFIELD ,USA,2,UIAA Worldcup - Innsbruck 1991,lead,Women
299, Susi GOOD ,SUI,2,UIAA Worldcup - Innsbruck 1991,lead,Women
300, Isabelle PATISSIER ,FRA,4,UIAA Worldcup - Innsbruck 1991,lead,Women
301, Catherine GLOESENER ,BEL,5,UIAA Worldcup - Innsbruck 1991,lead,Women
302, Venera CHERESHNEVA ,RUS,6,UIAA Worldcup - Innsbruck 1991,lead,Women
303, Lynn HILL ,USA,7,UIAA Worldcup - Innsbruck 1991,lead,Women
304, Luisa IOVANE ,ITA,8,UIAA Worldcup - Innsbruck 1991,lead,Women
305, Andrea EISENHUT ,GER,9,UIAA Worldcup - Innsbruck 1991,lead,Women
306, Anna IBANEZ-TUDORAS ,ESP,10,UIAA Worldcup - Innsbruck 1991,lead,Women
307, Shelly PRESSON ,USA,11,UIAA Worldcup - Innsbruck 1991,lead,Women
308, Natalie RICHER ,FRA,12,UIAA Worldcup - Innsbruck 1991,lead,Women
309, Bobbie BENSMAN ,USA,13,UIAA Worldcup - Innsbruck 1991,lead,Women
310, Barbara HIRSCHBICHLER ,GER,14,UIAA Worldcup - Innsbruck 1991,lead,Women
311, Felicity BUTLER ,GBR,15,UIAA Worldcup - Innsbruck 1991,lead,Women
312, Isabelle DORSIMOND ,BEL,16,UIAA Worldcup - Innsbruck 1991,lead,Women
313, Corinne LABRUNE ,FRA,17,UIAA Worldcup - Innsbruck 1991,lead,Women
314, Karin BLESS-REITH ,SUI,18,UIAA Worldcup - Innsbruck 1991,lead,Women
