,Athlete,Athlete_Country,Rank,Event_Name,Discipline,Category
0, François LEGRAND ,FRA,1,UIAA Worldcup - Wien 1991,lead,Men
1, Severino SCASSA ,ITA,2,UIAA Worldcup - Wien 1991,lead,Men
2, Jean-baptiste TRIBOUT ,FRA,3,UIAA Worldcup - Wien 1991,lead,Men
3, Yuji HIRAYAMA ,JPN,4,UIAA Worldcup - Wien 1991,lead,Men
4, Patxi AROCENA ,ESP,5,UIAA Worldcup - Wien 1991,lead,Men
5, François LOMBARD ,FRA,5,UIAA Worldcup - Wien 1991,lead,Men
6, Stefan GLOWACZ ,GER,7,UIAA Worldcup - Wien 1991,lead,Men
7, Jim KARN ,USA,7,UIAA Worldcup - Wien 1991,lead,Men
8, Stefan FÜRST ,AUT,9,UIAA Worldcup - Wien 1991,lead,Men
9, Jean CABARET ,FRA,10,UIAA Worldcup - Wien 1991,lead,Men
10, Robert CORTIJO ,FRA,10,UIAA Worldcup - Wien 1991,lead,Men
11, Jacky GODOFFE ,FRA,10,UIAA Worldcup - Wien 1991,lead,Men
12, Jindrich HUDECEK ,CZE,10,UIAA Worldcup - Wien 1991,lead,Men
13, Guido KÖSTERMEYER ,GER,10,UIAA Worldcup - Wien 1991,lead,Men
14, Ben MOON ,GBR,10,UIAA Worldcup - Wien 1991,lead,Men
15, Didier RABOUTOU ,FRA,10,UIAA Worldcup - Wien 1991,lead,Men
16, Frédéric COROLLER ,FRA,17,UIAA Worldcup - Wien 1991,lead,Men
17, Marc IVORRA ,FRA,18,UIAA Worldcup - Wien 1991,lead,Men
18, Alexei TCHERTOV ,RUS,19,UIAA Worldcup - Wien 1991,lead,Men
19, Piotr KORCZAK ,POL,20,UIAA Worldcup - Wien 1991,lead,Men
20, Klaus BÜCHELE ,GER,21,UIAA Worldcup - Wien 1991,lead,Men
21, Yoshihiko TERASHIMA ,JPN,22,UIAA Worldcup - Wien 1991,lead,Men
22, Hannes RIESER ,AUT,23,UIAA Worldcup - Wien 1991,lead,Men
23, Erik JACOBS ,NED,24,UIAA Worldcup - Wien 1991,lead,Men
24, Stéphane POUSSARDIN ,FRA,25,UIAA Worldcup - Wien 1991,lead,Men
25, Thomas FICKERT ,GER,26,UIAA Worldcup - Wien 1991,lead,Men
26, Scott FRANKLIN ,USA,27,UIAA Worldcup - Wien 1991,lead,Men
27, Txema GOMEZ ,ESP,27,UIAA Worldcup - Wien 1991,lead,Men
28, Faycal NATECH ,FRA,27,UIAA Worldcup - Wien 1991,lead,Men
29, Pavol ZAUSKA ,SVK,27,UIAA Worldcup - Wien 1991,lead,Men
30, Heinz GUT ,SUI,31,UIAA Worldcup - Wien 1991,lead,Men
31, Pierre MASSCHELEIN ,BEL,31,UIAA Worldcup - Wien 1991,lead,Men
32, Elie CHEVIEUX ,SUI,33,UIAA Worldcup - Wien 1991,lead,Men
33, Christoph HELMA ,AUT,33,UIAA Worldcup - Wien 1991,lead,Men
34, Philippe STEULET ,SUI,33,UIAA Worldcup - Wien 1991,lead,Men
35, Jan STRECKO ,SVK,33,UIAA Worldcup - Wien 1991,lead,Men
36, Serge BLEIN ,FRA,37,UIAA Worldcup - Wien 1991,lead,Men
37, Tony RYAN ,GBR,37,UIAA Worldcup - Wien 1991,lead,Men
38, Dave CUTHBERTSON ,GBR,39,UIAA Worldcup - Wien 1991,lead,Men
39, Samuel DELSINNE ,FRA,39,UIAA Worldcup - Wien 1991,lead,Men
40, Ernst RAINER ,AUT,39,UIAA Worldcup - Wien 1991,lead,Men
41, Reinhard SCHIRL ,AUT,39,UIAA Worldcup - Wien 1991,lead,Men
